r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime
Australia and New Zealand,PORT,7.214031894018927e-4,0.9990178652390067,0.9985595356838765,844,FALSE,false convergence (8),3.640186462616315e-15,0.8939393329686226,0.016439959587183015,9.318673873826621e-6,0.05940443854981127,0.39899911080221656,0.6088436042085027,0.0022377683092844078,0.6899243938947155,0.004004892509831914,8,-0.99,0.1111111111111111,99.99999999999991,-224.50555143902753,-216.5570919275235,-217.03888477236086,-220.50555143902753,-210.28610349566517,-206.6593975928737,586.6863498687744
Australia and New Zealand,Newton,0.040338989471279244,0.9450815793926108,0.9194529831091626,2,TRUE,,1.0854066697425637,0.9846291003479842,-7.719340645842828e-5,0.9976006884264671,0.45478885406702274,0.5362372355907998,0.42930123146124477,0.9801068075293521,0.9090803083265904,0.5233054307354958,0.7100000000000002,100,0.5847953216374269,0.009900990099009901,-131.9564132987593,-124.00795378725525,-124.48974663209262,-127.95641329875929,-117.73696535539693,-114.11025945260545,49.0853009223938
Australia and New Zealand,L-BFGS-B,0.001913132912921984,0.9973954172038817,0.9961799452323599,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.9274526837200259,3.300520325379034e-5,0.9951512260092107,0.012165589849694493,0.7450394446235957,0.8182135124878422,0.024759569449740244,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.058823529411764705,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,54.474876165390015
Australia and New Zealand,L-BFGS-B,0.001913132912921984,0.9973954172038817,0.9961799452323599,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.9274526837200259,3.300520325379034e-5,0.9951512260092107,0.012165589849694493,0.7450394446235957,0.8182135124878422,0.024759569449740244,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.058823529411764705,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,54.474876165390015
Brazil,LM,0.0024612256735310743,0.9956640497210879,0.9936406062575956,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,0.02506197980039521,0.8347676341851842,0.0018335893557830836,0.4396629661501006,0.29757598208892927,2.064992256658607e-23,0.9998299878841982,0,1.2739953649281572,1.05555623819904e-35,-0.69,18,3.2258064516129026,0.05263157894736842,-196.27957063882937,-188.33111112732533,-188.8129039721627,-192.27957063882937,-182.06012269546702,-178.43341679267553,1372.2737941741943
Brazil,NM,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,187.30973601341248
Brazil,Nelder-Mead,0.004516055742156896,0.992044048067037,0.988331270498321,451,TRUE,,0.06240610140903756,0.912775078567342,0.001383996374657921,0.759263965341692,0.301266553624706,2.8963266585787958e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.352101988176481e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,190.9769320487976
Brazil,PORT,0.0021551529648334788,0.9962032591324462,0.9944314467275878,3297,TRUE,relative convergence (4),26.49471438647288,0.8544903552237937,-0.00161275920818008,0.5500182569516097,0.27589620562870765,2.4406904797243148e-23,0.9971802149085829,0,1.41006581783607,1.78517016247437e-40,0.1100000000000001,12,0.9009009009009008,0.07692307692307693,-199.33391922780797,-191.38545971630393,-191.8672525611413,-195.33391922780797,-185.1144712844456,-181.48776538165413,3488.8264858722687
Brazil,Newton,0.0678493242051743,0.8804695971705226,0.8246887425167666,3,TRUE,,1.0670274185762887,0.9781781452822458,1.2958552031634255e-5,0.9994283167199963,0.4878359066767746,0.34958683501195104,0.46153070836584187,0.33798773933993365,0.9670912580951062,0.2264718023455398,-0.99,-0.99,99.99999999999991,99.99999999999991,-119.997081582632,-112.04862207112797,-112.53041491596534,-115.997081582632,-105.77763363926965,-102.15092773647817,49.8735032081604
Brazil,L-BFGS-B,0.009212324946403897,0.9837706134181993,0.9761968996800255,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0060844690443975,0.9369610905897854,1.0567622719417055e-5,0.9986520344700818,0.6260152491607847,1.1071488539607091e-4,0.8943349154680459,3.571617038773674e-15,0.9551495441401834,1.1458925044041362e-4,0.81,4,0.5524861878453039,0.2,-165.92226650444212,-157.97380699293808,-158.45559983777545,-161.92226650444212,-151.70281856107977,-148.07611265828828,52.41470193862915
Brazil,L-BFGS-B,0.009212324946403897,0.9837706134181993,0.9761968996800255,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0060844690443975,0.9369610905897854,1.0567622719417055e-5,0.9986520344700818,0.6260152491607847,1.1071488539607091e-4,0.8943349154680459,3.571617038773674e-15,0.9551495441401834,1.1458925044041362e-4,0.81,4,0.5524861878453039,0.2,-165.92226650444212,-157.97380699293808,-158.45559983777545,-161.92226650444212,-151.70281856107977,-148.07611265828828,52.41470193862915
Canada,LM,0.0017542763689597097,0.9947252367194953,0.9922636805219265,75,TRUE,Relative error in the sum of squares is at most `ftol'.,5.925392757436966e-12,0.7190588149709345,0.01277552173956922,1.4861488244666064e-20,0.8087311547631352,0.6309741240772714,0.3247356066050408,0.14337783237545443,0.5725664871239915,4.282453985874261e-7,100,-0.2899999999999999,0.009900990099009901,1.408450704225352,-204.06744011324653,-196.1189806017425,-196.60077344657986,-200.06744011324653,-189.84799216988418,-186.2212862670927,1554.8858609199524
Canada,NM,0.023760876631199766,0.9285557271451028,0.8952150664794841,145,TRUE,,0.0175928531776243,0.925289510842771,0.001963795593649849,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950075,0.026073704038263024,100,0.41000000000000014,0.009900990099009901,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,124.04983496665955
Canada,Nelder-Mead,0.023760876631199766,0.9285557271451028,0.8952150664794841,145,TRUE,,0.0175928531776243,0.925289510842771,0.001963795593649849,0.7096129154124091,0.5093516170426724,0.74090588073811,0.5367241081720229,0.19264069005470877,1.0337339569950075,0.026073704038263024,100,0.41000000000000014,0.009900990099009901,0.7092198581560283,-144.12980943443364,-136.1813499229296,-136.66314276776697,-140.12980943443364,-129.91036149107128,-126.2836555882798,125.0190839767456
Canada,PORT,0.0021017546230046886,0.9936804380961761,0.990731309207725,310,TRUE,relative convergence (4),4.327681916470131e-13,0.5177221264908034,0.014068692768584594,2.5263020696410975e-75,0.17327759255124678,0.8609964138470109,8.155266780890033e-6,0.9889208716508313,0.5093907745532753,2.23481712090304e-9,0.51,94,0.6622516556291391,0.010526315789473684,-199.9109701785005,-191.96251066699645,-192.44430351183382,-195.9109701785005,-185.69152223513814,-182.06481633234665,441.93624091148376
Canada,Newton,0.03944253451885985,0.8814040726698628,0.8260593065824654,3,TRUE,,0.9169406975699256,0.9555555848768094,3.6649212584537624e-6,0.9996703941882424,0.5718293019470442,0.3816497564751955,0.5475945645056753,0.6885600942747068,0.9280810217227476,0.27941862686595315,-0.99,100,99.99999999999991,0.009900990099009901,-132.4733082056397,-124.52484869413567,-125.00664153897304,-128.4733082056397,-118.25386026227736,-114.62715435948587,108.32077813148499
