r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Non-EU Europe,NM,delta,0.2538452554596272,0.9431856806599596,0.2691360361641711,0.787825000307735
Non-EU Europe,NM,rho_1,18,18632177.401607607,9.660706643146785e-7,0.9999992291871322
Non-EU Europe,NM,rho,6,7.933600440519689,0.7562770579365061,0.4494831002670873
Non-EU Europe,NM,nu,0.6886116158455087,0.10636587484074185,6.473990054390511,9.544818709244733e-11
Non-EU Europe,Nelder-Mead,gamma,0.013244012576684557,0.08223005179032797,0.16106049173426812,0.8720457569598148
Non-EU Europe,Nelder-Mead,lambda,0.0021378931641220216,0.0030706249377775714,0.6962404095074426,0.4862782849462449
Non-EU Europe,Nelder-Mead,delta_1,0.8395310045277975,151995.94773039754,5.523377544360022e-6,0.9999955929823339
Non-EU Europe,Nelder-Mead,delta,0.2538452554596272,0.9431856806599596,0.2691360361641711,0.787825000307735
Non-EU Europe,Nelder-Mead,rho_1,18,18632177.401607607,9.660706643146785e-7,0.9999992291871322
Non-EU Europe,Nelder-Mead,rho,6,7.933600440519689,0.7562770579365061,0.4494831002670873
Non-EU Europe,Nelder-Mead,nu,0.6886116158455087,0.10636587484074185,6.473990054390511,9.544818709244733e-11
Non-EU Europe,PORT,gamma,1.2856201586567234e-13,4.2949185548988926e-13,0.2993351660162013,0.764684325322051
Non-EU Europe,PORT,lambda,0.014678989489914572,0.0016522395820975848,8.884298408635752,6.432541516369522e-19
Non-EU Europe,PORT,delta_1,0.21219477763906194,1.997737617927486,0.10621754114997309,0.915409753851213
Non-EU Europe,PORT,delta,0.10837273055272259,0.24680260846746313,0.4391069090625505,0.6605840731059424
Non-EU Europe,PORT,rho_1,4,27.00956977946015,0.14809565767470545,0.8822672763323084
Non-EU Europe,PORT,rho,10,12.188015961674884,0.8204780853130582,0.41194361720425005
Non-EU Europe,PORT,nu,0.6980873043716305,0.10745765417666005,6.496394414342761,8.226780588824008e-11
Non-EU Europe,Newton,gamma,0.946068789787898,NA,NA,NA
Non-EU Europe,Newton,lambda,6.180218211113777e-6,NA,NA,NA
Non-EU Europe,Newton,delta_1,0.49741896387320483,NA,NA,NA
Non-EU Europe,Newton,delta,0.41527342277207296,NA,NA,NA
Non-EU Europe,Newton,rho_1,100,NA,NA,NA
Non-EU Europe,Newton,rho,2,NA,NA,NA
Non-EU Europe,Newton,nu,1.0332229303961389,NA,NA,NA
Non-EU Europe,L-BFGS-B,gamma,0.636363918651256,5.1337327089403475,0.12395735320287209,0.9013490417754946
Non-EU Europe,L-BFGS-B,lambda,2.240309447488533e-4,0.0039895563501960146,0.056154350279535775,0.9552188469433981
Non-EU Europe,L-BFGS-B,delta_1,0.9419663312574705,0.5554258833057109,1.69593524459321,0.08989814411931282
Non-EU Europe,L-BFGS-B,delta,0.45247530424345567,0.5709925980015893,0.7924363745293179,0.4281062770289324
Non-EU Europe,L-BFGS-B,rho_1,0.41000000000000014,18.36262570491782,0.0223279615120726,0.9821863443779212
Non-EU Europe,L-BFGS-B,rho,6,8.103686936948582,0.7404037256971431,0.4590550588259769
Non-EU Europe,L-BFGS-B,nu,0.7162096529278069,0.3037992910849889,2.3575092962525868,0.018397994645162733
Northern Africa,LM,gamma,1.1121929544600555e-22,4.385849683182447e-22,0.2535866559049578,0.7998149067709958
Northern Africa,LM,lambda,0.024998211442031196,0.0019523029507294981,12.804473523276885,1.547719330972973e-37
Northern Africa,LM,delta_1,0.01613394603552875,0.028638736910287652,0.5633609501029736,0.573189122269297
Northern Africa,LM,delta,1.0436798727213372,0.10298034106221089,10.134748651597935,3.873684977202768e-24
Northern Africa,LM,rho_1,10,6.115394944030887,1.6352173639677676,0.1020034893751161
Northern Africa,LM,rho,20,14.780469908064962,1.3531369519643623,0.17601188256124026
Northern Africa,LM,nu,0.31731630698158825,0.09582475555302837,3.311423077995632,9.282275536818763e-4
Northern Africa,NM,gamma,0.02550153944800592,0.22387737090815962,0.11390851761640225,0.9093103134372755
Northern Africa,NM,lambda,0.0017850185273515853,0.004347200937587399,0.4106133010594701,0.681356108967611
Northern Africa,NM,delta_1,0.5114848810438352,0.32241834599441954,1.5864012932213478,0.11264830725735445
Northern Africa,NM,delta,0.6295700626586322,2.1290550261121117,0.2957039883597073,0.7674561510651928
Northern Africa,NM,rho_1,-0.79,4.768050286375285,-0.16568617203082503,0.8684039287604929
Northern Africa,NM,rho,100,659.9325749412034,0.15153063176023626,0.8795571491649861
Northern Africa,NM,nu,0.9336091355275852,0.13534805944160344,6.897839092627665,5.279950106021838e-12
Northern Africa,Nelder-Mead,gamma,0.02550153944800592,0.22387737090815962,0.11390851761640225,0.9093103134372755
Northern Africa,Nelder-Mead,lambda,0.0017850185273515853,0.004347200937587399,0.4106133010594701,0.681356108967611
Northern Africa,Nelder-Mead,delta_1,0.5114848810438352,0.32241834599441954,1.5864012932213478,0.11264830725735445
Northern Africa,Nelder-Mead,delta,0.6295700626586322,2.1290550261121117,0.2957039883597073,0.7674561510651928
Northern Africa,Nelder-Mead,rho_1,-0.79,4.768050286375285,-0.16568617203082503,0.8684039287604929
Northern Africa,Nelder-Mead,rho,100,659.9325749412034,0.15153063176023626,0.8795571491649861
Northern Africa,Nelder-Mead,nu,0.9336091355275852,0.13534805944160344,6.897839092627665,5.279950106021838e-12
Northern Africa,PORT,gamma,1.1658882469122835e-18,5.28509114712971e-18,0.22059945882777593,0.8254043224737408
Northern Africa,PORT,lambda,0.020415677512640715,0.002244744619828389,9.09487757863587,9.469308848658097e-20
Northern Africa,PORT,delta_1,0.11674368988461493,0.12883431865985134,0.906153663860651,0.364854524589307
Northern Africa,PORT,delta,0.9999975636798571,1.5556759224446106e-4,6428.058371620531,0
Northern Africa,PORT,rho_1,-0.89,12.911428487356012,-0.06893117991332756,0.9450443995565961
Northern Africa,PORT,rho,80,416.1974671246421,0.19221645088974493,0.847572660227243
Northern Africa,PORT,nu,0.526734393796063,0.14491542102868282,3.634771165532532,2.782274820947818e-4
Northern Africa,Newton,gamma,1.0814491666743944,13.293017488865663,0.08135467869354907,0.935159890746421
Northern Africa,Newton,lambda,-7.83522602582113e-5,0.006086150703809282,-0.012873861340497391,0.9897284285280024
Northern Africa,Newton,delta_1,0.43307570400793344,0.613964344403191,0.7053759847062587,0.48057628507700867
Northern Africa,Newton,delta,0.40179897977765083,0.991865016699734,0.4050944160875541,0.6854081108317538
Northern Africa,Newton,rho_1,0.7100000000000002,6.439683943174887,0.11025385814974588,0.9122080499551848
Northern Africa,Newton,rho,8,79.03877047058401,0.10121614939566112,0.9193788771901503
Northern Africa,Newton,nu,0.9489582213298615,0.406966056095504,2.3317871530473946,0.01971189120885198
Northern Africa,L-BFGS-B,gamma,1.0008228437968782,11.046247590271301,0.0906029704311831,0.9278080715799845
Northern Africa,L-BFGS-B,lambda,-3.709051499464446e-5,0.005465763291036477,-0.006785971696848027,0.9945856195079111
Northern Africa,L-BFGS-B,delta_1,0.49958191488607007,0.4465794253222662,1.1186854712922691,0.26327434550883333
Northern Africa,L-BFGS-B,delta,0.5004117792846812,0.9230310572008844,0.5421396987466411,0.587722272426489
Northern Africa,L-BFGS-B,rho_1,-0.99,4.841048944361065,-0.20450113423314356,0.837961905733696
Northern Africa,L-BFGS-B,rho,10,81.04338694236651,0.12339069697459012,0.9017977235180323
Northern Africa,L-BFGS-B,nu,0.9925778253443691,0.33132184595997577,2.995811587577217,0.0027371549926347334
Peninsular West Asia,LM,gamma,6.4448740227537505e-09,7.468506622473646e-8,0.08629401229102937,0.9312326982216412
Peninsular West Asia,LM,lambda,0.009317015265882545,0.005735982580150905,1.6243102442681108,0.1043096119780894
Peninsular West Asia,LM,delta_1,0.1412296688053928,0.10070855329868461,1.4023602184665427,0.16080770648543236
Peninsular West Asia,LM,delta,1.0000079314286907,6.124471340398259e-4,1632.8069409557604,0
Peninsular West Asia,LM,rho_1,-0.99,4.527348529277263,-0.21867103749532657,0.8269063117061843
Peninsular West Asia,LM,rho,78,544.0288057565479,0.1433747609954773,0.8859942148310141
Peninsular West Asia,LM,nu,0.8550859784143365,0.196012784713754,4.362399012202474,1.2864397257449249e-5
Peninsular West Asia,NM,gamma,0.002035117358302387,0.04974884340822472,0.040907832602313954,0.9673693731623526
Peninsular West Asia,NM,lambda,0.0030374752304863943,0.01210040030259098,0.2510227062352639,0.8017965540820724
Peninsular West Asia,NM,delta_1,0.20960967918006265,0.41622618206680423,0.5035956127008376,0.6145455762419321
Peninsular West Asia,NM,delta,0.5071802187660374,0.2491222448083105,2.0358688528850246,0.041763526223140536
Peninsular West Asia,NM,rho_1,8,15.475148150317292,0.5169578941857157,0.6051855519506972
Peninsular West Asia,NM,rho,-0.59,35.49890429701042,-0.01662023129118629,0.9867395845506418
Peninsular West Asia,NM,nu,0.8995750698170271,0.39049424070695005,2.303683322418374,0.021240426705966993
Peninsular West Asia,Nelder-Mead,gamma,0.002035117358302387,0.04974884340822472,0.040907832602313954,0.9673693731623526
Peninsular West Asia,Nelder-Mead,lambda,0.0030374752304863943,0.01210040030259098,0.2510227062352639,0.8017965540820724
Peninsular West Asia,Nelder-Mead,delta_1,0.20960967918006265,0.41622618206680423,0.5035956127008376,0.6145455762419321
Peninsular West Asia,Nelder-Mead,delta,0.5071802187660374,0.2491222448083105,2.0358688528850246,0.041763526223140536
Peninsular West Asia,Nelder-Mead,rho_1,8,15.475148150317292,0.5169578941857157,0.6051855519506972
Peninsular West Asia,Nelder-Mead,rho,-0.59,35.49890429701042,-0.01662023129118629,0.9867395845506418
Peninsular West Asia,Nelder-Mead,nu,0.8995750698170271,0.39049424070695005,2.303683322418374,0.021240426705966993
Peninsular West Asia,PORT,gamma,3.7770898693530505e-11,4.525928171110434e-10,0.0834544810821941,0.9334901699124794
Peninsular West Asia,PORT,lambda,0.011860501500624456,0.00593113246343807,1.9997026830436593,0.045532378302763854
Peninsular West Asia,PORT,delta_1,0.1675431300687139,0.12097445104773132,1.3849463966784903,0.16606885855995304
Peninsular West Asia,PORT,delta,1,4.999702942241947e-4,2000.1188301631057,0
Peninsular West Asia,PORT,rho_1,-0.99,4.748648107091137,-0.20848038803330932,0.8348538942952449
Peninsular West Asia,PORT,rho,62,16369974759069556,3.78742184471908e-15,0.999999999999997
Peninsular West Asia,PORT,nu,0.7665527035243469,0.20757092608634048,3.692967594148972,2.2165227718047483e-4
Peninsular West Asia,Newton,gamma,1.0880902089185687,17.678984907586454,0.061547097562804326,0.9509235070423638
Peninsular West Asia,Newton,lambda,-7.256149003679219e-5,0.008043413918835209,-0.00902123038413769,0.9928021971864983
Peninsular West Asia,Newton,delta_1,0.5997646428384853,2.4180016771895194,0.24804145030023345,0.8041023359808412
Peninsular West Asia,Newton,delta,0.4973232358671243,0.28211639515665543,1.7628299680738775,0.07792917139189687
Peninsular West Asia,Newton,rho_1,100,1223.8496064713436,0.08170938608079824,0.9348778143074721
Peninsular West Asia,Newton,rho,-0.99,22.583933120236793,-0.043836474130933833,0.9650347528650138
Peninsular West Asia,Newton,nu,0.9315080813195998,0.2124790142901655,4.384000389080844,1.1651956440659339e-5
Peninsular West Asia,L-BFGS-B,gamma,0.9739746890468439,15.479230590741139,0.0629213889758464,0.94982910265066
Peninsular West Asia,L-BFGS-B,lambda,-5.473453236216871e-6,0.007867033696173314,-6.957454928506625e-4,0.999444875457792
Peninsular West Asia,L-BFGS-B,delta_1,1e-6,0.12081148923413927,8.277358439493658e-6,0.999993395623497
Peninsular West Asia,L-BFGS-B,delta,0.7657106116135951,0.12647826169222268,6.054088673964435,1.412148105375621e-9
Peninsular West Asia,L-BFGS-B,rho_1,6,450011.77656974574,1.3332984407064914e-5,0.9999893618175925
Peninsular West Asia,L-BFGS-B,rho,-0.69,14.535090512003888,-0.047471324614742474,0.9621375842034039
Peninsular West Asia,L-BFGS-B,nu,1.112357428828923,0.2481176954377279,4.483184590548885,7.353726463996966e-6
Republic of Korea,LM,gamma,1.8868264102410447e-19,NA,NA,NA
Republic of Korea,LM,lambda,0.02132022180670257,NA,NA,NA
Republic of Korea,LM,delta_1,-0.002523678493627855,NA,NA,NA
Republic of Korea,LM,delta,0.050526925647146566,NA,NA,NA
Republic of Korea,LM,rho_1,38,NA,NA,NA
Republic of Korea,LM,rho,76,NA,NA,NA
Republic of Korea,LM,nu,0.698544718902781,NA,NA,NA
Republic of Korea,NM,gamma,0.01757295024455313,0.3632752216345238,0.04837365500868802,0.9614184549755047
Republic of Korea,NM,lambda,0.0019831594127900196,0.010224084671513462,0.19396938469372577,0.8461998540763193
Republic of Korea,NM,delta_1,0.5159083104770983,1.0943912909045106,0.4714111988690095,0.6373471202375097
Republic of Korea,NM,delta,0.5336263972018762,8.554038369518095,0.06238297914391269,0.9502578492328143
Republic of Korea,NM,rho_1,78,564.5459766291227,0.13816412343549822,0.8901107084646062
Republic of Korea,NM,rho,100,2623.209315785458,0.03812124308885254,0.9695910140833635
