r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason
Southern Africa Cluster,L-BFGS-B,0.02610967722950884,0.9755194592055708,0.9640952068348374,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9129695223103615,0.9791652621593434,3.742050944304556e-5,0.998422998386634,0.1296376896355432,0.5886792239438379,0.3979708349530495,0.18350291285488732,1.754509645805086,0.1835592909646599,-0.75,4.5,4,0.18181818181818185,-141.9616999071926,-134.01324039568857,-134.49503324052594,-137.9616999071926,-127.74225196383026,-124.11554606103876,101.80144596099854,FALSE,FALSE,TRUE,NA
Southern Asia Cluster,L-BFGS-B,0.00626303273351682,0.9974441116596122,0.9962513637674312,47,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9003397620395968,0.9666199975842013,5.605752415234e-5,0.996215128770882,0.09843514988706516,0.01762656310260458,0.5505669304704044,0.2826573100851177,1.8796461578210388,1.931562215469882e-4,-0.25,66,1.3333333333333333,0.01492537313432835,-174.79745419247183,-166.8489946809678,-167.33078752580516,-170.79745419247183,-160.57800624910948,-156.951300346318,58.73058795928955,FALSE,FALSE,TRUE,NA
Tropical Pacific Islands,Nelder-Mead,0.02925505255030702,0.9784140697524804,0.9683406356369714,477,TRUE,NA,0.03086200603494251,0.9406736833965168,0.00172011401864091,0.7959094325682865,0.07946693785035738,0.02151876869244573,0.03503893090718628,0.7166302307604988,1.8600987050006048,3.278368470543715e-9,0,30,1,0.03225806451612903,-139.3455355859255,-131.39707607442145,-131.87886891925882,-135.3455355859255,-125.12608764256314,-121.49938173977164,281.1181170940399,FALSE,FALSE,TRUE,NA
United Kingdom,PORT,0.00462850097777511,0.9770358666987424,0.9663192711581554,3423,TRUE,relative convergence (4),4.140399334604269e-5,0.9358065383760612,0.0049692914442347,0.41826788015748656,0.36809721430539233,0.5146948208521638,0.43391708642873433,0.4057884446890442,1.1562736700724825,0.1393881204362586,0.75,8,0.5714285714285714,0.1111111111111111,-181.75337816910988,-173.80491865760584,-174.2867115024432,-177.75337816910988,-167.53393022574753,-163.90722432295604,1464.2041900157928,FALSE,FALSE,TRUE,NA
United States,L-BFGS-B,0.00403394730254065,0.9895045516314084,0.9846066757260654,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8184049637448705,0.8819535678381444,8.744059865130475e-5,0.979056886121862,0.09457927039368966,0.0144700574939789,0.9867641437777164,1.773986660394532e-12,2.2040214476624103,3.325243883362306e-7,0.5,34,0.6666666666666666,0.02857142857142857,-184.91559473219652,-176.96713522069248,-177.44892806552986,-180.91559473219652,-170.69614678883417,-167.06944088604268,576.2600300312042,FALSE,FALSE,TRUE,NA
Western Africa,Nelder-Mead,0.01717623363768678,0.9929890248679912,0.989717236473054,477,TRUE,NA,0.05067826112680419,0.9927702150317668,0.00149493288589047,0.978146331210534,0.03044215807080484,0.7764013473325635,0.4723267724938828,0.5475608803401395,1.4033186835385898,0.5003770660289757,2.25,3.75,0.3076923076923077,0.21052631578947367,-151.59362513279274,-143.6451656212887,-144.12695846612607,-147.59362513279274,-137.37417718943038,-133.7474712866389,150.4708480834961,FALSE,FALSE,TRUE,NA
China,NM,0.04405527406469216,0.9936610578957976,0.9907028849138366,633,TRUE,NA,0.02597483131765896,0.9743859834299404,0.00184950076104408,0.9043869765125068,0.5910505391358023,0.7089608557197564,-2.9661289601953857,0.2541337613836887,0.5989907387968143,0.15021056903740893,100,0.25,0.0099009900990099,0.8,-129.9295016748384,-121.98104216333437,-122.46283500817174,-125.9295016748384,-115.71005373147604,-112.08334782868457,2298.22621011734,TRUE,FALSE,FALSE,NA|NA|bad_delta_VAE|NA|NA|NA|rho_KL_on_edge|NA
Northern Africa,LM,0.00400837974292986,0.9964206690465658,0.9947503146016298,1019,TRUE,Relative error in the sum of squares is at most `ftol'.,2.915985865058801e-23,0.7866826191347118,0.02566073064768436,1.1001684591886988e-44,0.00128186389583855,0.8012843237771061,1.0518211269532247,3.3544300157595594e-15,0.27466227999326426,4.5383039342334534e-5,18,18,0.05263157894736842,0.05263157894736842,-185.06183495566825,-177.11337544416418,-177.59516828900155,-181.06183495566825,-170.84238701230586,-167.21568110951438,2318.80406999588,FALSE,FALSE,FALSE,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA
South America Cluster,LM,0.00225253105163027,0.9986154514072928,0.997969328730696,889,TRUE,Relative error in the sum of squares is at most `ftol'.,1.757495825922671e-21,0.8153883391555407,0.02363483382678009,5.986570693032152e-29,0.461753319226121,1.0644430525938062e-5,0.0183960229631312,0.963864343898344,0.5305732052486779,4.9704289052461246e-8,-0.99,98,99.99999999999991,0.0101010101010101,-198.31748497926552,-190.3690254677615,-190.85081831259888,-194.31748497926552,-184.0980370359032,-180.4713311331117,6284.502337932587,TRUE,FALSE,FALSE,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|NA
Switzerland,LM,0.00231405250869258,0.9934508491222038,0.9903945787125656,307,TRUE,Relative error in the sum of squares is at most `ftol'.,5.7827881456404555e-11,0.8127268197418507,0.01165853119601921,2.3394345949295395e-8,1555102943.581405,0.9960032981052812,0.05404632953954525,0.9752573460542752,0.4794551527015505,0.00605616306053713,40,5,0.02439024390243902,0.16666666666666666,-197.697731017055,-189.74927150555095,-190.23106435038832,-193.697731017055,-183.47828307369264,-179.85157717090115,6861.049417972565,FALSE,FALSE,FALSE,NA|bad_delta_KL|NA|NA|NA|NA|NA|NA
