r,method,conv
Middle Africa,NM,TRUE
Middle Africa,Nelder-Mead,TRUE
Middle Africa,PORT,TRUE
Middle Africa,Newton,TRUE
Middle Africa,L-BFGS-B,TRUE
Non-EU Europe,LM,TRUE
Non-EU Europe,NM,TRUE
Non-EU Europe,Nelder-Mead,TRUE
Non-EU Europe,PORT,TRUE
Non-EU Europe,Newton,TRUE
Non-EU Europe,L-BFGS-B,TRUE
Northern Africa,LM,TRUE
Northern Africa,NM,TRUE
Northern Africa,Nelder-Mead,TRUE
Northern Africa,PORT,FALSE
Northern Africa,Newton,TRUE
Northern Africa,L-BFGS-B,TRUE
Peninsular West Asia,LM,FALSE
Peninsular West Asia,NM,TRUE
Peninsular West Asia,Nelder-Mead,TRUE
Peninsular West Asia,PORT,FALSE
Peninsular West Asia,Newton,TRUE
Peninsular West Asia,L-BFGS-B,TRUE
Republic of Korea,LM,FALSE
Republic of Korea,NM,TRUE
Republic of Korea,Nelder-Mead,TRUE
Republic of Korea,PORT,FALSE
Republic of Korea,Newton,TRUE
Republic of Korea,L-BFGS-B,TRUE
Russia,LM,TRUE
Russia,NM,TRUE
Russia,Nelder-Mead,TRUE
Russia,PORT,TRUE
Russia,Newton,TRUE
Russia,L-BFGS-B,TRUE
South Africa,LM,TRUE
South Africa,NM,TRUE
South Africa,Nelder-Mead,TRUE
South Africa,PORT,FALSE
South Africa,Newton,TRUE
South Africa,L-BFGS-B,TRUE
South America Cluster,LM,TRUE
South America Cluster,NM,TRUE
South America Cluster,Nelder-Mead,TRUE
South America Cluster,PORT,FALSE
South America Cluster,Newton,TRUE
South America Cluster,L-BFGS-B,TRUE
South-eastern Asia,LM,TRUE
South-eastern Asia,NM,TRUE
South-eastern Asia,Nelder-Mead,TRUE
South-eastern Asia,PORT,FALSE
South-eastern Asia,Newton,TRUE
South-eastern Asia,L-BFGS-B,TRUE
Southern Africa Cluster,LM,TRUE
Southern Africa Cluster,NM,TRUE
Southern Africa Cluster,Nelder-Mead,TRUE
Southern Africa Cluster,PORT,TRUE
Southern Africa Cluster,Newton,TRUE
Southern Africa Cluster,L-BFGS-B,TRUE
Southern Asia Cluster,LM,FALSE
Southern Asia Cluster,NM,TRUE
Southern Asia Cluster,Nelder-Mead,TRUE
Southern Asia Cluster,PORT,FALSE
Southern Asia Cluster,Newton,TRUE
Southern Asia Cluster,L-BFGS-B,TRUE
Switzerland,LM,TRUE
Switzerland,NM,TRUE
Switzerland,Nelder-Mead,TRUE
Switzerland,PORT,TRUE
Switzerland,Newton,TRUE
Switzerland,L-BFGS-B,TRUE
Tropical Pacific Islands,LM,FALSE
Tropical Pacific Islands,NM,TRUE
Tropical Pacific Islands,Nelder-Mead,TRUE
Tropical Pacific Islands,PORT,TRUE
Tropical Pacific Islands,Newton,TRUE
Tropical Pacific Islands,L-BFGS-B,TRUE
United Kingdom,LM,TRUE
United Kingdom,NM,TRUE
United Kingdom,Nelder-Mead,TRUE
United Kingdom,PORT,TRUE
United Kingdom,Newton,TRUE
United Kingdom,L-BFGS-B,TRUE
United States,LM,TRUE
United States,NM,TRUE
United States,Nelder-Mead,TRUE
United States,PORT,TRUE
United States,Newton,TRUE
United States,L-BFGS-B,TRUE
Western Africa,LM,TRUE
Western Africa,NM,TRUE
Western Africa,Nelder-Mead,TRUE
Western Africa,PORT,FALSE
Western Africa,Newton,TRUE
Western Africa,L-BFGS-B,TRUE
