r,method,parameter,Estimate,Std. Error,t value,Pr(>|t|)
Western Africa,LM,delta_1,-0.5471546873288119,NA,NA,NA
Western Africa,LM,delta,0.2776411733231021,NA,NA,NA
Western Africa,LM,rho_1,1.25,NA,NA,NA
Western Africa,LM,rho,2.5,NA,NA,NA
Western Africa,LM,nu,0.7375969941664461,NA,NA,NA
Western Africa,NM,gamma,0.050678261126804194,5.592814857516822,0.009061315709153486,0.9927702150317668
Western Africa,NM,lambda,0.0014949328858904734,0.05457366107389263,0.027392937480707723,0.978146331210534
Western Africa,NM,delta_1,0.03044215807080484,0.10718624863587571,0.28401178750289535,0.7764013473325635
Western Africa,NM,delta,0.47232677249388283,0.7853537950047241,0.6014190998988445,0.5475608803401395
Western Africa,NM,rho_1,2.25,2.414992277868862,0.9316799977453918,0.3515019265919047
Western Africa,NM,rho,3.75,12.800474621189696,0.2929578871858635,0.7695543412589236
Western Africa,NM,nu,1.4033186835385898,2.082394722514624,0.6738965808768442,0.5003770660289757
Western Africa,Nelder-Mead,gamma,0.050678261126804194,5.592814857516822,0.009061315709153486,0.9927702150317668
Western Africa,Nelder-Mead,lambda,0.0014949328858904734,0.05457366107389263,0.027392937480707723,0.978146331210534
Western Africa,Nelder-Mead,delta_1,0.03044215807080484,0.10718624863587571,0.28401178750289535,0.7764013473325635
Western Africa,Nelder-Mead,delta,0.47232677249388283,0.7853537950047241,0.6014190998988445,0.5475608803401395
Western Africa,Nelder-Mead,rho_1,2.25,2.414992277868862,0.9316799977453918,0.3515019265919047
Western Africa,Nelder-Mead,rho,3.75,12.800474621189696,0.2929578871858635,0.7695543412589236
Western Africa,Nelder-Mead,nu,1.4033186835385898,2.082394722514624,0.6738965808768442,0.5003770660289757
Western Africa,PORT,gamma,7.282352718425762e-12,3.0824666408488004e-10,0.023625082010361884,0.9811516651816076
Western Africa,PORT,lambda,0.012705977662188358,0.020931976001355764,0.6070128143356075,0.5438424080712988
Western Africa,PORT,delta_1,3.054066929912317e-10,9.451543426664818e-8,0.0032312891049054945,0.9974218087982871
Western Africa,PORT,delta,0.4290171503503437,0.4450172444996196,0.96404612552202,0.3350228010906568
Western Africa,PORT,rho_1,20,287.9035042026941,0.06946771994105116,0.9446173263161722
Western Africa,PORT,rho,3.75,11.595641540102728,0.323397371937627,0.7463943195933318
