r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
China,NM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.04787215525533007,0.9931118617007962,0.989897397161168,573,TRUE,NA,0.16027106166017674,0.9745119832941534,9.621243968869288e-4,0.9504128082977644,0.38670614552133487,0.4865242767500498,-5.657668456836623,0.7748593978959625,0.3630129087395416,0.741853084027343,22,0.12,0.04347826086956521,0.8928571428571428,-128.01845579689305,-120.069996285389,-120.55178913022638,-124.01845579689304,-113.7990078535307,-110.1723019507392,880.4085810184479,FALSE,FALSE,FALSE
China,Nelder-Mead,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.04787215525533007,0.9931118617007962,0.989897397161168,573,TRUE,NA,0.16027106166017674,0.9745119832941534,9.621243968869288e-4,0.9504128082977644,0.38670614552133487,0.4865242767500498,-5.657668456836623,0.7748593978959625,0.3630129087395416,0.741853084027343,22,0.12,0.04347826086956521,0.8928571428571428,-128.01845579689305,-120.069996285389,-120.55178913022638,-124.01845579689304,-113.7990078535307,-110.1723019507392,911.7127997875214,FALSE,FALSE,FALSE
China,PORT,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.0261671604270626,0.996234909020542,0.9944778665634616,2250,FALSE,false convergence (8),1.2270134732403624e-33,NA,0.03749659189048528,NA,0.20751692267358063,NA,0,NA,0.8866465442336229,NA,0.16000000000000003,0.30000000000000004,0.8620689655172413,0.7692307692307692,-141.9111186503354,-133.96265913883136,-134.44445198366873,-137.9111186503354,-127.69167070697304,-124.06496480418156,2714.03724193573,FALSE,FALSE,FALSE
Eastern Africa,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00163577746968879,0.9911324057462076,0.9869941950944378,2416,FALSE,false convergence (8),8.829583356458543e-5,0.7895734115437378,0.0046080386789549,0.0129058371403756,0.2197163963759094,0.02002951651238433,0.7951332047461926,0.06493367332473668,1.5088100344777635,8.733466002957711e-8,-0.04000000000000003,30,1.0416666666666667,0.03225806451612903,-205.6760195999659,-197.72756008846187,-198.20935293329924,-201.6760195999659,-191.45657165660356,-187.82986575381207,1771.9387891292572,FALSE,FALSE,FALSE
EU27,LM,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.00416350464621575,0.9986987167909528,0.9980914512933976,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,1.1033653025498337e-31,0.9750619074690052,0.0352525115171103,0.02584046605491771,2.235616429569213,0.80035159314287,0.9866725907648493,0.7012311417856467,0.1267821420861175,0.8270845265354027,0.51,-0.34,0.6622516556291391,1.5151515151515154,-184.1885231824004,-176.24006367089635,-176.72185651573372,-180.1885231824004,-169.96907523903803,-166.34236933624655,17968.207489967346,FALSE,FALSE,FALSE
EU27,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00480845506727637,0.9984971406610076,0.997795806302811,3392,FALSE,false convergence (8),2.1661880335308496e-22,0.9767050088957336,0.02467167346779223,0.14518261643519292,0.5318733833155649,0.32394924417577053,0.9507948157578324,0.4012634281395739,0.5383418772248248,0.4146724662258169,-0.8400000000000001,-0.4,6.2500000000000036,1.6666666666666667,-180.87609404708752,-172.92763453558348,-173.40942738042085,-176.87609404708752,-166.65664610372517,-163.02994020093368,2867.40447306633,FALSE,FALSE,FALSE
India,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,0.00847005463353435,0.9978515706959928,0.9968489703541228,1602,FALSE,false convergence (8),4.771028596798583e-18,0.9569959569567432,0.01973846105972991,0.03131623747539488,0.1928484618231066,0.2110523358620087,0.6782095994831171,6.063703015660968e-7,1.328606893408525,0.00404727891993428,0.09999999999999998,-0.6200000000000001,0.9090909090909092,2.6315789473684217,-167.85438832864267,-159.90592881713863,-160.387721661976,-163.85438832864267,-153.63494038528032,-150.00823448248883,2515.5530800819397,FALSE,FALSE,FALSE
Japan,NM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|rho_VAE_on_edge,0.01117880105077494,0.7468150982585171,0.6286621441124918,1157,TRUE,NA,2.4484353774358405e-4,0.6999929551182003,0.00411116793817933,0.00139310915683041,0.3986470719213283,0.752310285485265,1.0236181091735015,0.9172224198668966,0.3309353066216183,0.6693348644937853,5.5,40,0.15384615384615383,0.02439024390243902,-161.47229628990027,-153.52383677839623,-154.0056296232336,-157.47229628990027,-147.25284834653792,-143.62614244374643,452.7244260311126,FALSE,TRUE,FALSE
Japan,Nelder-Mead,NA|NA|bad_delta_VAE|NA|NA|NA|NA|rho_VAE_on_edge,0.01117880105077494,0.7468150982585171,0.6286621441124918,1157,TRUE,NA,2.4484353774358405e-4,0.6999929551182003,0.00411116793817933,0.00139310915683041,0.3986470719213283,0.752310285485265,1.0236181091735015,0.9172224198668966,0.3309353066216183,0.6693348644937853,5.5,40,0.15384615384615383,0.02439024390243902,-161.47229628990027,-153.52383677839623,-154.0056296232336,-157.47229628990027,-147.25284834653792,-143.62614244374643,442.5585629940033,FALSE,TRUE,FALSE
Japan,PORT,no_convergence|NA|NA|NA|NA|NA|NA|NA,8.270958057969154e-4,0.9812673855299564,0.9725254987772696,102,FALSE,false convergence (8),1.2078419979710088e-13,0.5112491229402887,0.0147064328938365,5.043956737630764e-85,0.3455184278199584,0.00571775473286954,0.12982568373376158,0.0313981293984328,1.202402503805437,9.960350835644132e-11,9.5,9.5,0.09523809523809525,0.09523809523809525,-221.36093747820928,-213.41247796670524,-213.8942708115426,-217.36093747820928,-207.14148953484693,-203.51478363205544,764.3875050544739,FALSE,FALSE,FALSE
