r,method,invalid_reason,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid
Central Asia Extended,PORT,no_convergence|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00259370522123346,0.9992902777950664,0.9989590740994309,3017,FALSE,false convergence (8),1.401578413359791e-25,0.7596354446766396,0.02829492147249298,1.884255491597558e-68,2.0177362296402019e-13,0.9908516679870396,1,0,0.4191684500682509,6.602120049720537e-171,64,20,0.01538461538461538,0.04761904761904761,-195.07372724582265,-187.12526773431856,-187.60706057915596,-191.07372724582265,-180.85427930246027,-177.22757339966878,834.7745289802551,FALSE,FALSE,FALSE
Central Asia Extended,Newton,NA|NA|NA|NA|NA|NA|NA|rho_VAE_on_edge,0.03107591281039726,0.9914966183591096,0.987528373593361,2,TRUE,NA,0.904704094555368,0.9657495743918432,4.550785117698313e-5,0.9968471391926682,0.4979976392553091,0.10381119928435148,0.4089023919509904,0.8711078102544135,0.9637114816197636,0.12162280700954203,0.6100000000000001,100,0.6211180124223602,0.0099009900990099,-137.95677912087754,-130.0083196093735,-130.49011245421087,-133.95677912087754,-123.7373311775152,-120.1106252747237,68.73138093948364,FALSE,TRUE,FALSE
Chile,LM,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.0038897939556379,0.9969487189330264,0.9955247877684388,283,TRUE,Relative error in the sum of squares is at most `ftol'.,8.615067699100344e-14,0.7767381944042545,0.0148786594277112,1.524720384865189e-17,0.3343727249788144,6.746731826544573e-4,1.0509409741082891,1.0643226214822164e-6,0.5931328049114243,3.325734355347472e-11,0.6100000000000001,38,0.6211180124223602,0.02564102564102564,-185.75254604688052,-177.80408653537648,-178.28587938021386,-181.75254604688052,-171.53309810351817,-167.90639220072669,1143.86603307724,FALSE,FALSE,FALSE
Chile,PORT,NA|NA|bad_delta_VAE|NA|NA|NA|NA|NA,0.00413431722372657,0.9967569069175668,0.995243463479098,376,TRUE,relative convergence (4),3.047984438512819e-13,0.7812302547485487,0.01425494307460929,1.2673820490743105e-15,0.36439726876562784,0.00195194358738565,1,2.2243947498412423e-58,0.6178406932094624,2.4924145851121948e-11,0.2100000000000002,40,0.8264462809917354,0.02439024390243902,-184.35032792982156,-176.40186841831752,-176.8836612631549,-180.35032792982156,-170.1308799864592,-166.50417408366772,1415.9681520462036,FALSE,FALSE,FALSE
Chile,Newton,NA|NA|NA|NA|NA|NA|rho_KL_on_edge|NA,0.02883207413199288,0.9773831820081328,0.9668286669452616,2,TRUE,NA,1.064107291809579,0.9326058609673352,-4.638278127056294e-5,0.9936667455826284,0.5216379476521031,0.8468771527390692,0.47797339289946594,0.06829534654475317,0.9200598405941692,6.628617716739255e-4,100,-0.59,0.0099009900990099,2.4390243902439024,-139.6805039733138,-131.73204446180975,-132.21383730664712,-135.6805039733138,-125.46105602995144,-121.83435012715996,95.5493779182434,TRUE,FALSE,FALSE
China,LM,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.01331421405753827,0.9980828455732976,0.9971881735075032,1024,FALSE,Number of iterations has reached `maxiter' == 1024.,4.259392222178433e-32,0.9461559847492262,0.03575026643927145,1.0473136431712012e-6,-0.00426126592135376,0.8884216298856094,0.34380879756480115,0.3651371789191245,1.6470173743961984,0.12773398964585478,24,-0.89,0.04,9.090909090909092,-157.451597997384,-149.50313848587996,-149.98493133071733,-153.451597997384,-143.23215005402164,-139.60544415123016,1664.4814519882202,FALSE,FALSE,FALSE
China,NM,NA|bad_delta_KL|bad_delta_VAE|NA|NA|NA|NA|NA,0.05242422913026166,0.9924512748173347,0.9889285363987578,805,TRUE,NA,0.02692969797915583,0.9735267897204668,0.00184028773319686,0.901659219838406,-0.00147002834124175,0.9895238665370056,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.01,0.51,0.99009900990099,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015664,-121.92925431682332,-111.70980637346096,-108.08310047066948,288.852322101593,FALSE,FALSE,FALSE
China,Nelder-Mead,NA|bad_delta_KL|bad_delta_VAE|NA|NA|NA|NA|NA,0.05242422913026166,0.9924512748173347,0.9889285363987578,805,TRUE,NA,0.02692969797915583,0.9735267897204668,0.00184028773319686,0.901659219838406,-0.00147002834124175,0.9895238665370056,-3.474659817820731,0.556748878709543,0.6290791228921311,0.5053475281291866,0.01,0.51,0.99009900990099,0.6622516556291391,-125.92925431682332,-117.98079480531928,-118.46258765015664,-121.92925431682332,-111.70980637346096,-108.08310047066948,292.90118503570557,FALSE,FALSE,FALSE
China,PORT,no_convergence|bad_delta_KL|NA|NA|NA|NA|NA|NA,0.02947257042291938,0.9957561543919596,0.9937756931082076,2184,FALSE,false convergence (8),7.602317336894853e-31,0.9706704729340068,0.03431231236763486,0.01070323894995661,0,1,0.2646648424314744,0.7785450719433196,1.3155365256064775,0.4002965713492312,30,-0.3899999999999999,0.03225806451612903,1.6393442622950818,-139.17515804655363,-131.2266985350496,-131.70849137988696,-135.17515804655363,-124.95571010319128,-121.3290042003998,345.94392800331116,FALSE,FALSE,FALSE
China,Newton,NA|NA|NA|NA|bad_sigma_KL|NA|rho_KL_on_edge|rho_VAE_on_edge,1.3644149486738424,0.8035337161168944,0.7118494503047784,2,TRUE,NA,0.9062355656163438,0.990744845647933,-1.3048442298846226e-4,0.9975580639770016,0.5418702563521404,0.9999999991940668,0.4864403216398368,0.9999999769006928,0.9262671430471764,0.19652301535708477,-0.99,100,99.99999999999991,0.0099009900990099,-50.96967522863412,-43.02121571713007,-43.50300856196745,-46.96967522863412,-36.75022728527177,-33.12352138248027,99.7530870437622,TRUE,TRUE,FALSE
China,L-BFGS-B,NA|NA|NA|NA|NA|bad_sigma_VAE|NA|rho_VAE_on_edge,0.13419393788232992,0.9806770042200088,0.971659606189346,82,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.7827297716329696,0.9870931923812374,1.0106967438702622e-4,0.9973608636055185,9.999999999992654e-7,0.9999966181351316,0.36351181609819794,0.4895581166060986,2.8958372445505867,0.321256122483064,0.91,-0.99,0.5235602094240838,99.99999999999991,-104.31115920410686,-96.3626996926028,-96.8444925374402,-100.31115920410686,-90.09171126074452,-86.465005357953,133.96858191490173,FALSE,TRUE,FALSE
