r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,dAICc,wAICc
Non-EU Europe,L-BFGS-B,0.01532898431893335,0.962892836238695,0.9455761598167528,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.636363918651256,0.9013490417754946,2.240309447488533e-4,0.955218846943398,0.9419663312574704,0.08989814411931282,0.45247530424345567,0.4281062770289324,0.7162096529278069,0.01839799464516273,0.41000000000000014,6,0.7092198581560283,0.14285714285714285,-154.21059334998955,-146.2621338384855,-146.74392668332288,-150.21059334998955,-139.9911454066272,-136.3644395038357,122.54143404960632,FALSE,FALSE,TRUE,NA,31.01202698386291,1.844259510822417e-7
Northern Africa,NM,0.02896261447394162,0.9741374596507012,0.9620682741543616,227,TRUE,NA,0.02550153944800592,0.9093103134372756,0.00178501852735158,0.681356108967611,0.5114848810438352,0.11264830725735445,0.6295700626586322,0.7674561510651928,0.9336091355275852,5.279950106021838e-12,-0.79,100,4.761904761904763,0.0099009900990099,-139.5766040114636,-131.62814449995955,-132.10993734479692,-135.5766040114636,-125.35715606810123,-121.73045016530976,156.33460092544556,FALSE,FALSE,TRUE,NA,0,0.5
Northern Africa,Nelder-Mead,0.02896261447394162,0.9741374596507012,0.9620682741543616,227,TRUE,NA,0.02550153944800592,0.9093103134372756,0.00178501852735158,0.681356108967611,0.5114848810438352,0.11264830725735445,0.6295700626586322,0.7674561510651928,0.9336091355275852,5.279950106021838e-12,-0.79,100,4.761904761904763,0.0099009900990099,-139.5766040114636,-131.62814449995955,-132.10993734479692,-135.5766040114636,-125.35715606810123,-121.73045016530976,158.26502990722656,FALSE,FALSE,TRUE,NA,0,0.5
Peninsular West Asia,NM,0.02333726553498777,0.9833017392333876,0.9755092175423018,977,TRUE,NA,0.00203511735830238,0.9673693731623526,0.00303747523048639,0.8017965540820724,0.20960967918006265,0.6145455762419321,0.5071802187660374,0.04176352622314053,0.8995750698170271,0.02124042670596699,8,-0.59,0.1111111111111111,2.4390243902439024,-144.54355475440883,-136.5950952429048,-137.07688808774216,-140.54355475440883,-130.32410681104648,-126.697400908255,133.2379858493805,FALSE,FALSE,TRUE,NA,18.243093703977777,5.463677800841038e-5
Peninsular West Asia,Nelder-Mead,0.02333726553498777,0.9833017392333876,0.9755092175423018,977,TRUE,NA,0.00203511735830238,0.9673693731623526,0.00303747523048639,0.8017965540820724,0.20960967918006265,0.6145455762419321,0.5071802187660374,0.04176352622314053,0.8995750698170271,0.02124042670596699,8,-0.59,0.1111111111111111,2.4390243902439024,-144.54355475440883,-136.5950952429048,-137.07688808774216,-140.54355475440883,-130.32410681104648,-126.697400908255,134.4817259311676,FALSE,FALSE,TRUE,NA,18.243093703977777,5.463677800841038e-5
Peninsular West Asia,L-BFGS-B,0.01055789028795776,0.9924456271490208,0.9889202531518972,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.973974689046844,0.94982910265066,-5.473453236216871e-6,0.999444875457792,1e-6,0.999993395623497,0.7657106116135951,1.412148105375621e-9,1.112357428828923,7.353726463996966e-6,6,-0.69,0.14285714285714285,3.2258064516129026,-162.78664845838662,-154.83818894688258,-155.31998179171995,-158.78664845838662,-148.56720051502427,-144.94049461223278,86.74120497703552,FALSE,FALSE,TRUE,NA,0,0.4999453632219916
Peninsular West Asia,L-BFGS-B,0.01055789028795776,0.9924456271490208,0.9889202531518972,49,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.973974689046844,0.94982910265066,-5.473453236216871e-6,0.999444875457792,1e-6,0.999993395623497,0.7657106116135951,1.412148105375621e-9,1.112357428828923,7.353726463996966e-6,6,-0.69,0.14285714285714285,3.2258064516129026,-162.78664845838662,-154.83818894688258,-155.31998179171995,-158.78664845838662,-148.56720051502427,-144.94049461223278,86.74120497703552,FALSE,FALSE,TRUE,NA,0,0.4999453632219916
Republic of Korea,NM,0.04236380361480201,0.9659304054295867,0.9500312612967272,147,TRUE,NA,0.01757295024455313,0.9614184549755048,0.00198315941279001,0.8461998540763193,0.5159083104770983,0.6373471202375097,0.5336263972018762,0.9502578492328144,1.0363832998225706,0.00482314317891784,78,100,0.01265822784810126,0.0099009900990099,-130.82996926886707,-122.88150975736303,-123.3633026022004,-126.82996926886707,-116.61052132550472,-112.98381542271323,86.47437620162964,FALSE,FALSE,TRUE,NA,71.470057445722,3.0232510673311145e-16
Republic of Korea,Nelder-Mead,0.04236380361480201,0.9659304054295867,0.9500312612967272,147,TRUE,NA,0.01757295024455313,0.9614184549755048,0.00198315941279001,0.8461998540763193,0.5159083104770983,0.6373471202375097,0.5336263972018762,0.9502578492328144,1.0363832998225706,0.00482314317891784,78,100,0.01265822784810126,0.0099009900990099,-130.82996926886707,-122.88150975736303,-123.3633026022004,-126.82996926886707,-116.61052132550472,-112.98381542271323,81.67569994926453,FALSE,FALSE,TRUE,NA,71.470057445722,3.0232510673311145e-16
Republic of Korea,PORT,0.00189439685835409,0.9984764981561516,0.9977655306290222,1071,TRUE,relative convergence (4),5.152488554757305e-17,0.7834190620594876,0.01854589905258655,6.502915178061519e-25,2.8465134592764233e-07,0.961536522446846,0.32539633988685696,0.3699915103658705,0.8527255776065381,2.046004611558955e-18,98,26,0.0101010101010101,0.03703703703703703,-202.30002671458908,-194.35156720308504,-194.8333600479224,-198.30002671458908,-188.08057877122673,-184.45387286843524,409.0283839702606,FALSE,FALSE,TRUE,NA,0,0.9999999996804281
