r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,dAICc,wAICc
Canada,CG,0.016873146753582802,0.949265773342689,0.9255898009026106,501,FALSE,,0.9717544154239188,0.9454529930354797,-1.3710512980360116e-5,0.9984861938048653,0.13324306674705907,0.3755566889050378,0.6505671831106051,0.2671242003002605,1.25277337611342,0.07145543838954832,0.26,32,0.7936507936507936,0.030303030303030304,-152.00309998245004,-144.054640470946,-144.53643331578337,-148.00309998245004,-137.78365203908768,-134.1569461362962,256.3397219181061,51.86569404682072,4.899452282577883e-12
Canada,L-BFGS-B,0.007677809712480566,0.9769143394605999,0.9661410312088798,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9139476153919035,0.9216413898140078,3.127590650877817e-5,0.9950348967087586,1e-6,0.9999880832492583,0.6641369007256107,0.022295691282059608,1.5803510265815817,0.0010918221942892985,2,22,0.3333333333333333,0.043478260869565216,-170.11304918863547,-162.16458967713143,-162.6463825219688,-166.11304918863547,-155.89360124527312,-152.26689534248163,7.027318954467773,33.75574484063529,4.194430823263322e-8
Canada,L-BFGS-B,0.007677809712480566,0.9769143394605999,0.9661410312088798,41,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9139476153919035,0.9216413898140078,3.127590650877817e-5,0.9950348967087586,1e-6,0.9999880832492583,0.6641369007256107,0.022295691282059608,1.5803510265815817,0.0010918221942892985,2,22,0.3333333333333333,0.043478260869565216,-170.11304918863547,-162.16458967713143,-162.6463825219688,-166.11304918863547,-155.89360124527312,-152.26689534248163,7.027318954467773,33.75574484063529,4.194430823263322e-8
Caribbean Extended,LM,0.0031709382218653493,0.9968616331930427,0.9953970620164626,433,TRUE,Relative error in the sum of squares is at most `ftol'.,3.176780645669382e-10,0.9184530717448337,0.010809093938120315,0.025271736891698187,0.03814979489663552,0.47310442176260953,0.7280038310260105,1.429131203194667e-4,1.5993871341195554,8.247160757804184e-6,2,-0.99,0.3333333333333333,99.99999999999991,-190.45210558070076,-182.50364606919672,-182.9854389140341,-186.45210558070076,-176.2326576373384,-172.60595173454692,216.952388048172,0,0.5320945329217281
Caribbean Extended,NM,0.030396038210983668,0.9699161854600115,0.9558770720080169,287,TRUE,,0.021054776686576446,0.9627635816962129,0.0018757233504470457,0.8594798825559617,0.3796379800501929,0.4358263668914858,0.5577500859631392,0.9009448868960983,0.9797755948649046,0.24206984813453236,0.51,92,0.6622516556291391,0.010752688172043012,-138.46555599097417,-130.51709647947013,-130.9988893243075,-134.46555599097417,-124.24610804761181,-120.61940214482033,9.180505990982056,51.98654958972659,2.7368625486908166e-12
Caribbean Extended,Nelder-Mead,0.030396038210983668,0.9699161854600115,0.9558770720080169,287,TRUE,,0.021054776686576446,0.9627635816962129,0.0018757233504470457,0.8594798825559617,0.3796379800501929,0.4358263668914858,0.5577500859631392,0.9009448868960983,0.9797755948649046,0.24206984813453236,0.51,92,0.6622516556291391,0.010752688172043012,-138.46555599097417,-130.51709647947013,-130.9988893243075,-134.46555599097417,-124.24610804761181,-120.61940214482033,9.273694038391113,51.98654958972659,2.7368625486908166e-12
Caribbean Extended,PORT,0.0032065909840404616,0.9968263466508404,0.9953453084212325,1483,FALSE,false convergence (8),7.171404309374588e-11,0.9193607223644212,0.011545197560758424,0.018131836904096414,0.03995351713396035,0.4821854776746902,0.6969174564348197,8.357277307869182e-4,1.5511056251443067,1.8565093630056693e-5,2,-0.24,0.3333333333333333,1.3157894736842106,-190.1949457791104,-182.24648626760637,-182.72827911244374,-186.1949457791104,-175.97549783574806,-172.34879193295657,79.83810806274414,0.25715980159034757,0.46789376216281764
Caribbean Extended,Newton,0.039794051992525066,0.9606147067052577,0.9422349031677113,2,TRUE,,0.9378216950644644,0.964107795073918,-5.342314420587514e-6,0.9996119677085036,0.5914986357408768,0.4123401462883682,0.4501162206336537,0.9280153370843118,0.9288094008794545,0.26280279109391813,-0.99,92,99.99999999999991,0.010752688172043012,-132.26923694790514,-124.3207774364011,-124.80257028123847,-128.26923694790514,-118.04978900454279,-114.4230831017513,6.707572937011719,58.18286863279562,1.2352060281269303e-13
Caribbean Extended,CG,0.019434290496860056,0.9807653357004752,0.9717891590273636,2222,FALSE,,0.9736899401454577,0.9654361035301777,-1.6737868223666904e-5,0.9988298106864543,0.25270965493668446,0.35293418381695474,0.6981630507732285,0.4625428812718327,1.4109233131679138,0.08704831647299854,-0.49,22,1.9607843137254901,0.043478260869565216,-148.7528400679763,-140.80438055647227,-141.28617340130964,-144.7528400679763,-134.53339212461395,-130.90668622182247,239.39631605148315,41.69926551272445,4.689303488965337e-10
Caribbean Extended,CG,0.019434290496860056,0.9807653357004752,0.9717891590273636,501,FALSE,,0.9736899401454577,0.9654361035301777,-1.6737868223666904e-5,0.9988298106864543,0.25270965493668446,0.35293418381695474,0.6981630507732285,0.4625428812718327,1.4109233131679138,0.08704831647299854,-0.49,22,1.9607843137254901,0.043478260869565216,-148.7528400679763,-140.80438055647227,-141.28617340130964,-144.7528400679763,-134.53339212461395,-130.90668622182247,239.39631605148315,41.69926551272445,4.689303488965337e-10
Caribbean Extended,L-BFGS-B,0.008558109245208384,0.9915297984046889,0.9875770376602104,36,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8771374631543566,0.9687100019097854,4.843641358617541e-5,0.9969346974645076,0.0616194072712964,0.4523933598037908,0.8450240155569007,0.13414976357605873,1.9619532735127347,0.03156207856169741,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-167.61651486967264,-159.6680553581686,-160.14984820300597,-163.61651486967264,-153.3970669263103,-149.7703610235188,5.185031890869141,22.835590711028118,5.851985998100947e-6
Caribbean Extended,L-BFGS-B,0.008558109245208384,0.9915297984046889,0.9875770376602104,36,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.8771374631543566,0.9687100019097854,4.843641358617541e-5,0.9969346974645076,0.0616194072712964,0.4523933598037908,0.8450240155569007,0.13414976357605873,1.9619532735127347,0.03156207856169741,0.010000000000000009,12,0.9900990099009901,0.07692307692307693,-167.61651486967264,-159.6680553581686,-160.14984820300597,-163.61651486967264,-153.3970669263103,-149.7703610235188,5.185031890869141,22.835590711028118,5.851985998100947e-6
