r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,aic,bic,runtime
Australia and New Zealand,LM,9.485748980536228e-4,0.998708588491889,0.998105929788104,952,TRUE,Relative error in the sum of squares is at most `ftol'.,2.5682673358604555e-15,NA,0.01670101855745983,NA,0.18783729848112649,NA,0.6900944243852969,NA,0.6044526163695289,NA,1,1,0.5,0.5,NA,NA,8.223700046539307
Australia and New Zealand,NM,0.042939601809003525,0.9415410464227488,0.9142602014200316,325,TRUE,,0.008816780307462723,NA,0.002352643420957832,NA,0.6463844368319883,NA,0.6602181666853,NA,1.0445749568863152,NA,0,1,1,0.5,NA,NA,0.2621638774871826
Australia and New Zealand,Nelder-Mead,0.042939601809003525,0.9415410464227488,0.9142602014200316,325,TRUE,,0.008816780307462723,NA,0.002352643420957832,NA,0.6463844368319883,NA,0.6602181666853,NA,1.0445749568863152,NA,0,1,1,0.5,NA,NA,0.2671527862548828
Australia and New Zealand,BFGS,0.0012765634529822197,0.9982620573900935,0.9974510175054705,487,TRUE,,1.0839491421930043e-13,NA,0.014840289411328112,NA,0.16189262213964012,NA,0.5502637295913595,NA,0.8297083219339607,NA,1,-1,0.5,NA,NA,NA,1.5690388679504395
Australia and New Zealand,BFGS,0.0012765634529822197,0.9982620573900935,0.9974510175054705,23,TRUE,,1.0839491421930043e-13,NA,0.014840289411328112,NA,0.16189262213964012,NA,0.5502637295913595,NA,0.8297083219339607,NA,1,-1,0.5,NA,NA,NA,1.5690388679504395
Australia and New Zealand,PORT,9.550956160174352e-4,0.9986997110376817,0.9980929095219332,240,FALSE,false convergence (8),4.2428173445659354e-14,NA,0.015306652547345517,NA,0.15430546565194495,NA,0.7328040237341785,NA,0.6783725671962166,NA,1,1,0.5,0.5,NA,NA,2.521959066390991
Australia and New Zealand,Newton,0.15380585121275633,0.7906052050517658,0.6928876340759231,2,TRUE,,1.0195474119307089,NA,-1.1827962185868987e-5,NA,0.5161059241277985,NA,0.46291868599898967,NA,0.936445724928057,NA,1,1,0.5,0.5,NA,NA,0.2100358009338379
Australia and New Zealand,CG,0.02447430764731676,0.9666801191833784,0.951130841468955,229,TRUE,,7.849488557624787e-14,NA,0.014999999999814304,NA,0.5,NA,0.5,NA,1,NA,-1,-1,NA,NA,NA,NA,0.684128999710083
Australia and New Zealand,CG,0.02447430764731676,0.9666801191833784,0.951130841468955,20,TRUE,,7.849488557624787e-14,NA,0.014999999999814304,NA,0.5,NA,0.5,NA,1,NA,-1,-1,NA,NA,NA,NA,0.684128999710083
Australia and New Zealand,L-BFGS-B,0.043178953208781304,0.9412151879662469,0.9137822756838289,23,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.7404687373906236,NA,1.477953622865304e-4,NA,0.6302522206538075,NA,0.6315081335089249,NA,1.2424178338527392,NA,0,-1,1,NA,NA,NA,0.29183411598205566
