r,t,residuals
Central Asia Extended,13,0.001086349743327733
Central Asia Extended,14,0.020112987310204916
Central Asia Extended,15,0.020860520863270088
Central Asia Extended,16,-0.03282225397743946
Central Asia Extended,17,-0.0022405278226733383
Central Asia Extended,18,-0.00681546642136821
Central Asia Extended,19,-4.6803487485813644e-5
Central Asia Extended,20,0.020781027417803855
Central Asia Extended,21,-0.022397737646764893
Central Asia Extended,22,0.006187240351006595
Central Asia Extended,23,0.03232192042678139
Chile,1,-0.011196308119432063
Chile,2,-5.281067444665721e-4
Chile,3,0.0028565549587165062
Chile,4,0.00215895741804506
Chile,5,0.014931734039319133
Chile,6,-0.001876390691205737
Chile,7,0.013476934065131951
Chile,8,0.01804706720835779
Chile,9,-0.014980031809542133
Chile,10,-0.01870779945534315
Chile,11,-0.017140539931787588
Chile,12,-0.0161401675912524
Chile,13,-0.0041564756053357466
Chile,14,0.009386961886856532
Chile,15,0.00923398806221662
Chile,16,0.010565250108033802
Chile,17,0.014777075647681992
Chile,18,0.00838734541005548
Chile,19,0.009517542974768561
Chile,20,-0.016576675985690875
Chile,21,-0.027980504470228207
Chile,22,0.018473499177968755
Chile,23,-0.002529910158004134
China,1,-0.03484508990837609
China,2,0.014487943169293471
China,3,0.08199556178512679
China,4,0.009445618567908154
China,5,-0.02480435109101209
China,6,-0.04634189119677434
China,7,-0.03343581840118359
China,8,-0.02613312971386017
China,9,-0.013106543299068962
China,10,0.015166005381280517
China,11,0.021205253437134558
China,12,-0.018054207538541995
China,13,0.011537176816392138
China,14,-0.008735905131158045
China,15,-0.017838778366469382
China,16,-0.024267326696609026
China,17,0.03565348248244227
China,18,0.04366673137613747
China,19,0.03377692042353547
China,20,0.05248997250603643
China,21,0.01191195150302743
China,22,0.009301394688484566
China,23,-0.07590384324026045
Eastern Africa,1,-0.0017737024327846296
Eastern Africa,2,0.006624625185503635
Eastern Africa,3,0.009373133333325567
Eastern Africa,4,-0.0033386101387009454
Eastern Africa,5,0.001246242035871828
Eastern Africa,6,-0.005605639744683727
Eastern Africa,7,-0.0023839905700634573
Eastern Africa,8,0.0017697220019089448
Eastern Africa,9,-0.004723850735292049
Eastern Africa,10,-0.010814918641359153
Eastern Africa,11,-0.005380067584118848
Eastern Africa,12,0.009524018175016073
Eastern Africa,13,-0.002646837188170022
Eastern Africa,14,-0.0049131401633542345
Eastern Africa,15,0.004838946399840093
Eastern Africa,16,0.0035785538383145965
Eastern Africa,17,0.0026930298000112513
Eastern Africa,18,0.00766668683738303
Eastern Africa,19,0.008772020735356267
Eastern Africa,20,-2.925697123333515e-4
Eastern Africa,21,-0.026723456737442322
Eastern Africa,22,-0.0013515478997288832
Eastern Africa,23,0.013871997130718766
EU27,1,0.02095556536893395
EU27,2,0.020755159866514217
EU27,3,-0.0016808124946818825
EU27,4,-0.026327152943902976
EU27,5,-0.01560744506668943
EU27,6,-0.011780169974417276
EU27,7,-0.0065985361785982355
EU27,8,0.009065641378620148
EU27,9,-0.0030732286335801717
EU27,10,0.006080355418122657
EU27,11,0.030022172088392973
EU27,12,-0.003078150063705966
EU27,13,-0.01300889919167709
EU27,14,-0.007474897299201713
EU27,15,-0.00399852326685779
EU27,16,-0.03256790954192973
EU27,17,0.004436435390641008
EU27,18,0.00713750643607769
EU27,19,0.020709548512460596
EU27,20,0.014009472899623787
EU27,21,-0.0017341154138303394
EU27,22,0.0027652485085370992
EU27,23,-0.004777853000401233
India,1,0.014953843303359471
India,2,-0.012825369992395363
India,3,-0.015875835456918397
India,4,0.0075637916131519045
India,5,0.01756967038330859
India,6,0.011951692686729576
India,7,0.010322500971993831
India,8,-0.0017877845419481675
India,9,-0.04643368077655527
India,10,-0.03282451781129703
India,11,0.012059130007105678
India,12,0.004843282349849168
India,13,0.014258235510897362
India,14,-0.004848685426110541
India,15,4.891558786426775e-5
India,16,-0.012159855074177633
India,17,0.01361708320049182
India,18,0.0210688951964374
India,19,0.02383547308327133
India,20,0.026844431693493542
India,21,-0.011993487666484393
India,22,-0.01097866916000384
India,23,-0.0277026118282665
Japan,1,0.004313721502285803
Japan,2,0.0014675880266381697
Japan,3,-0.009134890373401178
Japan,4,1.8970900402657392e-4
Japan,5,-4.99548182244472e-4
Japan,6,-0.008628653930195108
Japan,7,-0.005250740234914949
Japan,8,0.005147997664277592
Japan,9,0.020307416043122847
Japan,10,-0.0036366887029063294
Japan,11,0.009287629549841029
Japan,12,-0.0033283815647095743
Japan,13,-0.002969435747165939
Japan,14,-0.006502936823470612
Japan,15,-0.006251116470292684
Japan,16,0.001721760873617563
Japan,17,0.0032039167008584973
Japan,18,-0.001079686859506282
Japan,19,0.0072358237058912575
Japan,20,0.0037298166139291683
Japan,21,-0.010352218688790715
Japan,22,-0.003098397692476225
Japan,23,0.00412739039497808
Levant,1,-0.0014066098565614915
Levant,2,0.007119237120373656
Levant,3,-0.003719813328038335
Levant,4,-0.01265181933701981
Levant,5,-0.001231477460090058
Levant,6,0.01358711143502106
Levant,7,0.00800169941971876
Levant,8,0.007144053260649458
Levant,9,0.005755192702559281
Levant,10,-0.0013434459882853689
Levant,11,-0.0035576976041763464
Levant,12,0.005879174327826848
Levant,13,-0.010452874090104277
Levant,14,6.440943588116727e-4
Levant,15,0.004798189096961031
Levant,16,-0.006811330004982741
Levant,17,-0.013396051257687142
Levant,18,-0.014515438542318265
Levant,19,-0.010959520523053878
Levant,20,-0.006662509809333084
Levant,21,-0.017067032763502687
Levant,22,0.019395749058169542
Levant,23,0.034126791255230604
Mexico,1,0.006096999882615806
Mexico,2,0.010902137056021333
Mexico,3,0.0013700989823331178
Mexico,4,0.002567231271691367
Mexico,5,0.007102701294818159
Mexico,6,0.0066131284007308055
Mexico,7,0.020167143691777398
Mexico,8,0.013173289870401839
Mexico,9,-0.002636875861048573
Mexico,10,-0.04928046676075046
Mexico,11,-0.02868687268584138
Mexico,12,-0.025882888067373426
Mexico,13,-0.009805975390951082
Mexico,14,-0.004421446259140503
Mexico,15,-0.0010302872003810568
Mexico,16,0.003259635253598153
Mexico,17,0.0068267526915894855
Mexico,18,0.01358836797003031
Mexico,19,0.016877055473046063
Mexico,20,0.018064599005672352
Mexico,21,-8.144138929778999e-4
Mexico,22,8.543261468135777e-4
Mexico,23,-0.0049254480567924586
Middle Africa,1,0.020683646982674442
Middle Africa,2,0.03778098071304725
Middle Africa,3,-0.05458417144820149
Middle Africa,4,-0.06997361311568068
Middle Africa,5,-0.038519625383296396
Middle Africa,6,-0.002953077194825182
Middle Africa,7,0.005801682516549361
Middle Africa,8,0.03481211037797993
Middle Africa,9,0.022972443512124192
Middle Africa,10,-0.016416948334255978
Middle Africa,11,0.001802523367551955
Middle Africa,12,-0.03506156418162982
Middle Africa,13,0.03185683403662323
Middle Africa,14,0.013319247357194086
Middle Africa,15,0.0115446880956257
Middle Africa,16,0.03953787778526571
Middle Africa,17,0.07047707050485569
Middle Africa,18,0.06273341247075165
Middle Africa,19,0.024876271010989742
Middle Africa,20,0.025797662934634147
Middle Africa,21,-0.01580020403055299
Middle Africa,22,-0.06937366158643415
Middle Africa,23,-0.09914970817443514
Non-EU Europe,1,-5.904407445146975e-4
Non-EU Europe,2,-0.0037630936899931133
Non-EU Europe,3,0.019010197343964808
Non-EU Europe,4,-0.020938470920934815
Non-EU Europe,5,6.983237547276699e-4
Non-EU Europe,6,-0.019754911222862923
Non-EU Europe,7,-0.018479772709936518
Non-EU Europe,8,0.012657515952208952
Non-EU Europe,9,0.01783011710218839
Non-EU Europe,10,0.021145423948375725
Non-EU Europe,11,-0.009217399891855924
Non-EU Europe,12,-0.004550741606552056
Non-EU Europe,13,-3.9364014410944725e-4
Non-EU Europe,14,-0.0032160614287999323
Non-EU Europe,15,-3.3330160351899285e-4
Non-EU Europe,16,0.02692159343414323
Non-EU Europe,17,0.002083315882433545
Non-EU Europe,18,0.002701645087538805
Non-EU Europe,19,-0.010243682129947529
Non-EU Europe,20,0.010022877743579822
Non-EU Europe,21,0.004744244796634128
Non-EU Europe,22,-0.0026205221580758165
Non-EU Europe,23,-0.023713214757776085
Northern Africa,1,-0.006357922503801516
Northern Africa,2,-0.003932690335430977
Northern Africa,3,-0.035566755341158884
Northern Africa,4,0.021929992340041837
Northern Africa,5,0.014253109422035781
Northern Africa,6,-0.002121858555695133
Northern Africa,7,0.00725579376338073
Northern Africa,8,0.008010056717404526
Northern Africa,9,0.016173163501775223
Northern Africa,10,0.02045769275618156
Northern Africa,11,0.019860663209913268
Northern Africa,12,-0.009102440567134057
Northern Africa,13,-0.006370830039980291
Northern Africa,14,-0.018583947981945695
Northern Africa,15,-0.019082302478805227
Northern Africa,16,-0.018588941359308997
Northern Africa,17,-0.0153907467930261
Northern Africa,18,-0.0027402971673902154
Northern Africa,19,0.004353789859684959
Northern Africa,20,0.01472677926711552
Northern Africa,21,-0.00987675792267026
Northern Africa,22,0.005671249109656884
Northern Africa,23,0.0189592703675997
Peninsular West Asia,1,0.04501521377311063
Peninsular West Asia,2,0.0037254463470459687
Peninsular West Asia,3,-0.022859478930871535
Peninsular West Asia,4,-0.038675829109579785
Peninsular West Asia,5,0.004860893012648415
Peninsular West Asia,6,-0.005260526401322796
Peninsular West Asia,7,0.010988965747098844
Peninsular West Asia,8,0.0015286846582880098
Peninsular West Asia,9,0.0018445489444128271
Peninsular West Asia,10,-0.03181949732212237
Peninsular West Asia,11,-0.015256434113363065
Peninsular West Asia,12,0.020474929010333952
Peninsular West Asia,13,0.020907120632639352
Peninsular West Asia,14,0.007329001941176361
Peninsular West Asia,15,0.0028956662141193523
Peninsular West Asia,16,-0.015549718673388446
Peninsular West Asia,17,0.021128811862698355
Peninsular West Asia,18,0.004510508001605851
Peninsular West Asia,19,0.003377066861461442
Peninsular West Asia,20,-0.005695135256862993
Peninsular West Asia,21,-0.031017916202859208
Peninsular West Asia,22,-7.301558810006714e-4
Peninsular West Asia,23,0.018279573756485035
Republic of Korea,1,0.0030477297194625996
Republic of Korea,2,0.013408730037466177
Republic of Korea,3,-0.00699674836191877
Republic of Korea,4,-0.03912790725930898
Republic of Korea,5,-0.020685220544972682
Republic of Korea,6,-0.013536170840910244
Republic of Korea,7,0.006810412436804247
Republic of Korea,8,0.011743077676362873
Republic of Korea,9,0.02334974312979722
Republic of Korea,10,0.010328626848005368
Republic of Korea,11,-0.0012658184284757845
