rho1,rho,rss,convergence,r,method
1,1,0.031061592627494212,TRUE,Canada,L-BFGS-B
-1,-1,0.0041096996408556095,TRUE,Caribbean Extended,LM
0,-1,0.003636963521546815,TRUE,Caribbean Extended,LM
1,-1,0.0033123821530999477,TRUE,Caribbean Extended,LM
-1,0,0.004089142972096722,TRUE,Caribbean Extended,LM
0,0,0.003625501479060177,TRUE,Caribbean Extended,LM
1,0,0.003333716055068405,TRUE,Caribbean Extended,LM
-1,1,0.004065065420354214,TRUE,Caribbean Extended,LM
0,1,0.003625400871276249,TRUE,Caribbean Extended,LM
1,1,0.0033704628995708304,TRUE,Caribbean Extended,LM
-1,-1,0.13332487571881738,TRUE,Caribbean Extended,NM
0,-1,0.04392190949373976,TRUE,Caribbean Extended,NM
1,-1,0.03666759633924538,TRUE,Caribbean Extended,NM
-1,0,0.03984846702072654,TRUE,Caribbean Extended,NM
0,0,0.04314867068287152,TRUE,Caribbean Extended,NM
1,0,0.11275267249128176,TRUE,Caribbean Extended,NM
-1,1,0.02820602781939687,TRUE,Caribbean Extended,NM
0,1,0.11756950111777657,TRUE,Caribbean Extended,NM
1,1,0.04692222667780112,TRUE,Caribbean Extended,NM
-1,-1,0.13332487571881738,TRUE,Caribbean Extended,Nelder-Mead
0,-1,0.04392190949373976,TRUE,Caribbean Extended,Nelder-Mead
1,-1,0.03666759633924538,TRUE,Caribbean Extended,Nelder-Mead
-1,0,0.03984846702072654,TRUE,Caribbean Extended,Nelder-Mead
0,0,0.04314867068287152,TRUE,Caribbean Extended,Nelder-Mead
1,0,0.11275267249128176,TRUE,Caribbean Extended,Nelder-Mead
-1,1,0.02820602781939687,TRUE,Caribbean Extended,Nelder-Mead
0,1,0.11756950111777657,TRUE,Caribbean Extended,Nelder-Mead
1,1,0.04692222667780112,TRUE,Caribbean Extended,Nelder-Mead
-1,-1,0.0057180332445253565,TRUE,Caribbean Extended,BFGS
0,-1,0.009882233901679615,TRUE,Caribbean Extended,BFGS
1,-1,0.005051816263990707,TRUE,Caribbean Extended,BFGS
-1,0,0.007007556491461879,TRUE,Caribbean Extended,BFGS
0,0,0.005570167811663784,TRUE,Caribbean Extended,BFGS
1,0,0.013597970947423684,TRUE,Caribbean Extended,BFGS
-1,1,0.010361636601627654,TRUE,Caribbean Extended,BFGS
0,1,0.013230800203388914,TRUE,Caribbean Extended,BFGS
1,1,0.01718332023479376,TRUE,Caribbean Extended,BFGS
-1,-1,0.004273712777502368,FALSE,Caribbean Extended,PORT
0,-1,0.0038355193104231133,FALSE,Caribbean Extended,PORT
1,-1,0.003539978224797883,FALSE,Caribbean Extended,PORT
-1,0,0.004180372623329672,FALSE,Caribbean Extended,PORT
0,0,0.003668113333872537,FALSE,Caribbean Extended,PORT
1,0,0.003417387591250468,FALSE,Caribbean Extended,PORT
-1,1,0.004104726656952672,FALSE,Caribbean Extended,PORT
0,1,0.003628086012367423,FALSE,Caribbean Extended,PORT
1,1,0.003372379839268018,FALSE,Caribbean Extended,PORT
-1,-1,0.16454463651045342,TRUE,Caribbean Extended,Newton
0,-1,0.15528371651525483,TRUE,Caribbean Extended,Newton
1,-1,0.14730189028185944,TRUE,Caribbean Extended,Newton
-1,0,0.15937036020381867,TRUE,Caribbean Extended,Newton
0,0,0.14904648391090317,TRUE,Caribbean Extended,Newton
1,0,0.1402640203589949,TRUE,Caribbean Extended,Newton
-1,1,0.15514085622218762,TRUE,Caribbean Extended,Newton
0,1,0.14403232753692838,TRUE,Caribbean Extended,Newton
1,1,0.13481744130236034,TRUE,Caribbean Extended,Newton
-1,-1,0.01131416303292887,TRUE,Caribbean Extended,CG
0,-1,0.009920001223836454,TRUE,Caribbean Extended,CG
1,-1,0.010984878666093387,TRUE,Caribbean Extended,CG
-1,0,0.009140843698622138,TRUE,Caribbean Extended,CG
0,0,0.01062371692141842,TRUE,Caribbean Extended,CG
1,0,0.013292677593063174,TRUE,Caribbean Extended,CG
-1,1,0.009972150880113767,TRUE,Caribbean Extended,CG
0,1,0.013051027652335328,TRUE,Caribbean Extended,CG
1,1,0.017401582120315843,TRUE,Caribbean Extended,CG
-1,-1,0.05104683932735529,TRUE,Caribbean Extended,L-BFGS-B
0,-1,0.05290609061374947,TRUE,Caribbean Extended,L-BFGS-B
1,-1,0.05550037006119285,TRUE,Caribbean Extended,L-BFGS-B
-1,0,0.05390218922830535,TRUE,Caribbean Extended,L-BFGS-B
0,0,0.05748250653096089,TRUE,Caribbean Extended,L-BFGS-B
1,0,0.06185243295369003,TRUE,Caribbean Extended,L-BFGS-B
-1,1,0.05783401701167016,TRUE,Caribbean Extended,L-BFGS-B
0,1,0.06306764996889362,TRUE,Caribbean Extended,L-BFGS-B
1,1,0.06908974857015555,TRUE,Caribbean Extended,L-BFGS-B
-1,-1,0.0017747090933620813,FALSE,Central America,LM
0,-1,0.0015379603623055468,FALSE,Central America,LM
1,-1,0.0012776101080391288,TRUE,Central America,LM
-1,0,0.0016832773036165709,FALSE,Central America,LM
0,0,0.0014945199827327308,FALSE,Central America,LM
1,0,0.001246655638317819,TRUE,Central America,LM
-1,1,0.001688000286797251,FALSE,Central America,LM
0,1,0.0014497282700065063,FALSE,Central America,LM
1,1,0.0012157189480559644,FALSE,Central America,LM
-1,-1,0.033459252662124635,TRUE,Central America,NM
0,-1,0.031872328747571385,TRUE,Central America,NM
1,-1,0.030204724679861596,TRUE,Central America,NM
-1,0,0.03307789777361903,TRUE,Central America,NM
0,0,0.031221091140560226,TRUE,Central America,NM
1,0,0.029541465201105475,TRUE,Central America,NM
-1,1,0.03263640063814911,TRUE,Central America,NM
0,1,0.030666795379054337,TRUE,Central America,NM
1,1,0.028847517624731065,TRUE,Central America,NM
-1,-1,0.033459252662124635,TRUE,Central America,Nelder-Mead
0,-1,0.031872328747571385,TRUE,Central America,Nelder-Mead
1,-1,0.030204724679861596,TRUE,Central America,Nelder-Mead
-1,0,0.03307789777361903,TRUE,Central America,Nelder-Mead
0,0,0.031221091140560226,TRUE,Central America,Nelder-Mead
1,0,0.029541465201105475,TRUE,Central America,Nelder-Mead
-1,1,0.03263640063814911,TRUE,Central America,Nelder-Mead
0,1,0.030666795379054337,TRUE,Central America,Nelder-Mead
1,1,0.028847517624731065,TRUE,Central America,Nelder-Mead
-1,-1,0.04729446426641761,TRUE,Central America,BFGS
0,-1,0.051596792722833976,TRUE,Central America,BFGS
1,-1,0.04901427045307884,TRUE,Central America,BFGS
-1,0,0.04734718358977901,TRUE,Central America,BFGS
0,0,0.04900197551892052,TRUE,Central America,BFGS
1,0,0.04950926231095595,TRUE,Central America,BFGS
-1,1,0.0023315639503506155,TRUE,Central America,BFGS
0,1,0.0018404806275939415,TRUE,Central America,BFGS
1,1,0.050390699619601506,TRUE,Central America,BFGS
-1,-1,0.0019386108840426471,FALSE,Central America,PORT
0,-1,0.0015846224667416084,FALSE,Central America,PORT
1,-1,0.0012852095439487904,FALSE,Central America,PORT
-1,0,0.0017743993678390176,FALSE,Central America,PORT
0,0,0.0015381893048618935,FALSE,Central America,PORT
1,0,0.001251678645526526,FALSE,Central America,PORT
-1,1,0.001896492301105216,FALSE,Central America,PORT
0,1,0.0015096064312431362,FALSE,Central America,PORT
1,1,0.0012230107889819163,FALSE,Central America,PORT
-1,-1,0.057083431271897245,TRUE,Central America,Newton
0,-1,0.05445979186621671,TRUE,Central America,Newton
1,-1,0.05189767745848307,TRUE,Central America,Newton
-1,0,0.05678050101935815,TRUE,Central America,Newton
0,0,0.0540124715595346,TRUE,Central America,Newton
1,0,0.051304195651555404,TRUE,Central America,Newton
-1,1,0.05651257487647548,TRUE,Central America,Newton
0,1,0.053603200282410786,TRUE,Central America,Newton
1,1,0.0507531258293129,TRUE,Central America,Newton
-1,-1,0.04617654704470823,TRUE,Central America,CG
0,-1,0.047344406233810775,TRUE,Central America,CG
1,-1,0.04863340277733076,TRUE,Central America,CG
-1,0,0.04651727155883109,TRUE,Central America,CG
0,0,0.04806408779276011,TRUE,Central America,CG
1,0,0.04925363549794374,TRUE,Central America,CG
-1,1,0.046434920472015466,TRUE,Central America,CG
0,1,0.04796367351053933,TRUE,Central America,CG
1,1,0.04995147118572777,TRUE,Central America,CG
-1,-1,0.009853008599384627,TRUE,Central America,L-BFGS-B
