t,r,P,Y,C,K,L,E
2003,United States,289.9,16.3906,10.7479,2.546,149.992325,59727
2003,Western Africa,263.7,0.89011,0.06718,0.011,111.335957,2533
2004,Argentina,38.8,0.83809,0.29592,0.051,17.502349,1947
2004,Australia and New Zealand,24.1,1.13971,0.82799,0.264,12.266056,3378
2004,Brazil,182.7,2.72392,1.02913,0.217,89.058034,5249
2004,Canada,32.1,1.63561,0.93455,0.286,17.554856,7332
2004,Caribbean Extended,39.7,0.24319,0.10755,0.015,14.143247,947
2004,Central America,39.1,0.34495,0.12584,0.028,14.987403,875
2004,Central Asia Extended,76.9,0.59972,0.0965,0.023,33.58756,4291
2004,Chile,16.2,0.32313,0.10335,0.029,6.752634,799
2004,China,1332.2,7.70941,2.42656,0.053,748.663621,39145
2004,Eastern Africa,290.7,0.49751,0.09805,0.016,120.067162,3859
2004,EU27,433.1,18.5546,9.2025,2.546,202.977411,42372
2004,India,1136,4.15333,0.73413,0.243,445.825854,12214
2004,Japan,127.8,5.15538,3.08093,1.123,66.508242,12698
2004,Levant,107.5,1.6309,0.60195,0.161,34.488274,3725
2004,Mexico,104.4,2.10116,0.80148,0.198,41.810127,4075
2004,Middle Africa,112.4,0.36364,0.07137,0.022,45.115491,1450
2004,Non-EU Europe,77.1,1.49578,0.34052,0.111,39.375539,5248
2004,Northern Africa,188.8,1.80898,0.3543,0.083,57.17858,3494
2004,Peninsular West Asia,150.2,3.04161,0.69166,0.206,46.621919,11018
2004,Republic of Korea,47.7,1.44676,0.64918,0.322,23.859038,4715
2004,Russia,145.2,3.7305,0.62138,0.172,73.69933,16541
2004,South Africa,49,0.60535,0.20115,0.038,20.206355,2323
2004,South America Cluster,128.7,1.04625,0.32713,0.064,58.619786,3512
2004,South-eastern Asia,581.2,4.38888,0.97124,0.346,277.464316,13293
2004,Southern Africa Cluster,6.8,0.05462,0.01219,0.003,2.528003,170
2004,Southern Asia Cluster,384.8,1.35841,0.28061,0.057,124.177994,3767
2004,Switzerland,7.4,0.50444,0.37152,0.147,4.15642,831
2004,Tropical Pacific Islands,9.3,0.03273,0.00186,3.00E-04,3.509055,194
2004,United Kingdom,60.2,2.81066,2.11758,0.425,30.084688,6057
2004,United States,292.8,17.0213,11.4239,2.779,151.218126,60575
2004,Western Africa,271.1,0.9536,0.0702,0.012,114.1754,2572
2005,Argentina,39.2,0.91228,0.31887,0.059,17.624307,2042
2005,Australia and New Zealand,24.4,1.17598,0.86355,0.28,12.623014,3349
2005,Brazil,184.7,2.81114,1.06881,0.221,91.599988,5326
2005,Canada,32.4,1.68812,0.96421,0.312,17.706025,7240
2005,Caribbean Extended,40.1,0.2576,0.11428,0.018,14.359468,962
2005,Central America,39.8,0.36023,0.13247,0.029,15.410577,907
2005,Central Asia Extended,77.7,0.666,0.10456,0.028,34.011832,4434
2005,Chile,16.3,0.34199,0.11086,0.036,6.916575,815
2005,China,1340.3,8.57911,2.69252,0.057,758.245225,43499
2005,Eastern Africa,299.1,0.52732,0.11224,0.019,123.734128,3977
2005,EU27,434.6,18.95,9.39261,2.626,205.389535,42621
2005,India,1154.7,4.48241,0.79032,0.283,454.832471,12767
2005,Japan,127.9,5.24838,3.12253,1.157,66.581356,12823
2005,Levant,109.1,1.7591,0.63407,0.185,35.224458,3790
2005,Mexico,105.8,2.14557,0.81896,0.208,43.213356,4240
2005,Middle Africa,116,0.39944,0.07847,0.027,46.588187,1476
2005,Non-EU Europe,76.5,1.55544,0.36167,0.123,39.20348,5411
2005,Northern Africa,192.3,1.90032,0.37008,0.093,58.981767,3836
2005,Peninsular West Asia,154.7,3.18688,0.7315,0.228,48.98399,11738
2005,Republic of Korea,47.9,1.5091,0.68027,0.326,23.953153,4780
2005,Russia,144.6,3.96925,0.67793,0.19,74.144089,15946
2005,South Africa,49.5,0.6373,0.21108,0.042,20.508526,2363
2005,South America Cluster,130.4,1.10035,0.34136,0.071,59.637209,3648
2005,South-eastern Asia,588.5,4.64172,1.02095,0.377,280.61902,13349
2005,Southern Africa Cluster,6.8,0.05681,0.0125,0.003,2.5599,180
2005,Southern Asia Cluster,392.1,1.4508,0.307,0.062,126.759849,3859
2005,Switzerland,7.4,0.51831,0.37627,0.151,4.176168,843
2005,Tropical Pacific Islands,9.5,0.03421,0.00226,4.00E-04,3.511212,191
2005,United Kingdom,60.6,2.88747,2.17465,0.443,30.460442,6007
2005,United States,295.7,17.6142,12.1572,3.074,153.120588,60656
2005,Western Africa,278.8,1.00689,0.07232,0.013,117.111771,2640
2006,Argentina,39.6,0.98569,0.35034,0.067,17.955872,2139
2006,Australia and New Zealand,24.8,1.20842,0.89155,0.3,12.896076,3383
2006,Brazil,186.7,2.92252,1.12091,0.236,92.726865,5298
2006,Canada,32.8,1.73265,1.00103,0.332,17.980503,7029
2006,Caribbean Extended,40.4,0.28068,0.12599,0.023,14.659611,1016
2006,Central America,40.4,0.38294,0.13928,0.033,15.660518,908
2006,Central Asia Extended,78.6,0.75152,0.11551,0.035,34.366854,4515
2006,Chile,16.5,0.36268,0.11864,0.038,7.184183,844
2006,China,1348.4,9.64835,2.94791,0.063,765.80002,47024
2006,Eastern Africa,307.8,0.56405,0.12016,0.023,127.415758,4095
2006,EU27,435.7,19.6565,9.61031,2.79,207.209879,42760
2006,India,1172.9,4.84373,0.82831,0.322,457.61146,13843
2006,Japan,128,5.32041,3.14614,1.161,66.694003,12734
2006,Levant,111.4,1.87114,0.65693,0.209,35.95802,4062
2006,Mexico,107.3,2.24866,0.85361,0.228,44.671073,4451
2006,Middle Africa,119.8,0.42646,0.0894,0.03,47.777052,1522
2006,Non-EU Europe,76.1,1.65019,0.3884,0.14,39.14805,5590
2006,Northern Africa,195.8,2.01156,0.39143,0.102,60.855128,4000
2006,Peninsular West Asia,158.9,3.3729,0.80096,0.243,50.619764,12391
2006,Republic of Korea,48,1.58854,0.71739,0.339,24.205394,4759
2006,Russia,144.1,4.29473,0.74233,0.224,74.509208,16458
2006,South Africa,50,0.67301,0.22719,0.047,20.797349,2395
2006,South America Cluster,132.1,1.16873,0.36092,0.082,61.349806,3639
2006,South-eastern Asia,596.3,4.92115,1.06781,0.395,285.366242,13732
2006,Southern Africa Cluster,6.9,0.06096,0.01369,0.003,2.59669,181
2006,Southern Asia Cluster,399.4,1.54252,0.32315,0.071,129.331666,4004
2006,Switzerland,7.5,0.53943,0.38128,0.158,4.237789,836
2006,Tropical Pacific Islands,9.8,0.03561,0.00254,5.00E-04,3.523384,193
2006,United Kingdom,61.1,2.95621,2.19768,0.455,30.956293,5905
2006,United States,298.7,18.1047,12.8585,3.272,155.267046,60654
2006,Western Africa,286.7,1.06389,0.10152,0.029,120.102318,2625
2007,Argentina,40,1.07448,0.38231,0.081,18.001087,2175
2007,Australia and New Zealand,25.2,1.25278,0.93302,0.315,13.21785,3482
2007,Brazil,188.6,3.09991,1.18619,0.264,93.712199,5646
2007,Canada,33.1,1.76817,1.03984,0.342,18.289463,7309
2007,Caribbean Extended,40.7,0.29581,0.14618,0.028,14.891271,1032
2007,Central America,41.1,0.40994,0.14671,0.038,16.037917,941
2007,Central Asia Extended,79.5,0.8414,0.12683,0.042,34.681348,4930
2007,Chile,16.7,0.38143,0.12638,0.042,7.369317,887
2007,China,1356.3,10.9869,3.3027,0.067,770.416696,51531
2007,Eastern Africa,316.8,0.60423,0.12542,0.025,131.122086,4063
2007,EU27,437,20.3083,9.82058,2.959,208.586685,42054
2007,India,1190.7,5.2148,0.89121,0.375,460.225575,15094
2007,Japan,128.1,5.39936,3.17549,1.136,66.797225,12658
2007,Levant,114,1.9742,0.69814,0.222,36.740107,4368
2007,Mexico,108.8,2.29539,0.86468,0.244,45.655255,4542
2007,Middle Africa,123.6,0.46293,0.09585,0.036,48.951418,1529
2007,Non-EU Europe,75.7,1.76112,0.41598,0.162,39.351558,5608
2007,Northern Africa,199.3,2.12425,0.41231,0.118,62.71691,4307
