year,region,total_factor_productivity,share_capital_valueadded,share_valueadded_output,elasticity_substitution_capital_labour,elasticity_substitution_valueadded_energy,valueadded_CES_exponent,output_CES_exponent,gamma_parameter,nu_parameter,converged
2010,Canada,0.9826369288923028,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2011,Canada,0.996861900273404,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2012,Canada,1.011292796961035,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2013,Canada,1.025932599996829,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2014,Canada,1.0407843335769433,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2015,Canada,1.05585106567678,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2016,Canada,1.0711359086847512,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2017,Canada,1.0866420200452171,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2018,Canada,1.102372602910718,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2019,Canada,1.1183309068036806,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2020,Canada,1.134520228287672,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2021,Canada,1.1509439116483828,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2022,Canada,1.1676053495844705,3.765615302829986,0.07487133889089304,1,0.5,0,1,2.7934537479478466e-13,0.44016674697539127,TRUE
2000,Caribbean Extended,0.8764616076634336,0.06948976166041006,0.6966567696146956,0.5,NA,1,-1,2.634756235986783e-10,1.577436326766914,TRUE
2001,Caribbean Extended,0.8861227636909647,0.06948976166041006,0.6966567696146956,0.5,NA,1,-1,2.634756235986783e-10,1.577436326766914,TRUE
2002,Caribbean Extended,0.8958904137565371,0.06948976166041006,0.6966567696146956,0.5,NA,1,-1,2.634756235986783e-10,1.577436326766914,TRUE
