r,t,fitted
Caribbean Extended,1,0.6772630192105764
Caribbean Extended,2,0.6896701533975623
Caribbean Extended,3,0.7267014609618597
Caribbean Extended,4,0.7342804680386492
Caribbean Extended,5,0.7598717589330386
Caribbean Extended,6,0.7986060986118196
Caribbean Extended,7,0.8666103469562763
Caribbean Extended,8,0.9115885996431986
Caribbean Extended,9,0.9533977120831023
Caribbean Extended,10,0.9458750787578732
Caribbean Extended,11,0.9727566013202226
Caribbean Extended,12,0.9799389052342069
Caribbean Extended,13,1.0190329342527893
Caribbean Extended,14,1.0483727329243455
Caribbean Extended,15,1.0630224721725483
Caribbean Extended,16,1.1436865330329438
Caribbean Extended,17,1.1726605564060297
Caribbean Extended,18,1.1944381892258098
Caribbean Extended,19,1.2509822768232388
Caribbean Extended,20,1.3095450810149825
Caribbean Extended,21,1.193181240763055
Caribbean Extended,22,1.2671572217849438
Caribbean Extended,23,1.3210191613881677
Central America,1,0.6411102171296652
Central America,2,0.6509745296854678
Central America,3,0.6737198214168724
Central America,4,0.7013772152893698
Central America,5,0.729399331212327
Central America,6,0.7615069422707362
Central America,7,0.8041440485952577
Central America,8,0.8632851769097808
Central America,9,0.8979999436121319
Central America,10,0.8853985069358292
Central America,11,0.9149282147874833
Central America,12,0.9703921570826763
Central America,13,1.0330878839306712
Central America,14,1.0776321521757548
Central America,15,1.1220220923860118
Central America,16,1.1687853923881075
Central America,17,1.2015365687015829
Central America,18,1.2575484037795723
Central America,19,1.2981689446973066
Central America,20,1.3257549808526903
Central America,21,1.2351064256979476
Central America,22,1.3566586449141171
Central America,23,1.429943706591861
Central Asia Extended,1,0.42224531160241685
Central Asia Extended,2,0.46579909954229626
Central Asia Extended,3,0.49597156529283876
Central Asia Extended,4,0.5252122802564395
Central Asia Extended,5,0.581927944483723
Central Asia Extended,6,0.6587452788864172
Central Asia Extended,7,0.7541166137345868
Central Asia Extended,8,0.83675216485186
Central Asia Extended,9,0.8796373473993377
Central Asia Extended,10,0.9048919692511006
Central Asia Extended,11,0.9768509705358442
Central Asia Extended,12,1.0074946179489206
Central Asia Extended,13,1.0741980889698082
Central Asia Extended,14,1.1222192124058419
Central Asia Extended,15,1.1755570729861866
Central Asia Extended,16,1.2768591687692081
Central Asia Extended,17,1.2627226025873952
Central Asia Extended,18,1.3186754251067965
Central Asia Extended,19,1.3667165057171535
Central Asia Extended,20,1.405562633102382
Central Asia Extended,21,1.4440040308713735
Central Asia Extended,22,1.4862557009466213
Central Asia Extended,23,1.523038849331765
Chile,1,0.638373087516621
Chile,2,0.651520611367791
Chile,3,0.6701163724952496
Chile,4,0.7022571457855885
Chile,5,0.7396194090393031
Chile,6,0.7960590748579862
Chile,7,0.8313591590465463
Chile,8,0.8703383789400104
Chile,9,0.9336516051854067
Chile,10,0.9266612084339523
Chile,11,0.9793487172945906
Chile,12,1.0392636157030901
Chile,13,1.0900924006142403
Chile,14,1.1110071066015703
Chile,15,1.1310985300890042
Chile,16,1.1539003452311551
Chile,17,1.169193817337381
Chile,18,1.192664115422126
Chile,19,1.238851134961122
Chile,20,1.2796703085121555
Chile,21,1.214829498574595
Chile,22,1.2909045310097418
Chile,23,1.3467003630948022
China,1,0.3394929731531353
China,2,0.3486680956014499
China,3,0.3548661264968397
China,4,0.4190278542427433
China,5,0.4776254688317081
China,6,0.5430323930798717
China,7,0.6028346760647761
China,8,0.6814254775863577
China,9,0.7357180719975602
China,10,0.7793556455754853
China,11,0.8563300964578103
China,12,0.9744013310802411
China,13,1.018937848197602
China,14,1.1197380711930096
China,15,1.2124478074117333
China,16,1.3022623894407173
China,17,1.3079259207764953
China,18,1.3861686959562474
China,19,1.493438015271685
China,20,1.5520210572491862
China,21,1.648276899229968
